Start,dS,Length
48638,0.1247,4559
74586,0.0371,3847
110482,0.0823,3862
291679,0.0516,1581
297004,0.0558,2287
302370,0.0566,9329
351956,0.0763,6968
669245,0.0836,6418
734654,0.0422,6556
960374,0.0543,5401
1220195,0.011,6601
1237234,0.0759,6582
1571710,0.0054,5581
2154937,0.0067,2646
2172857,0.0699,7768
2373711,0.0453,5380
2423607,0.0472,5013
2430282,0.0101,3909
2457925,0.042,4949
2724249,0.0773,5896
2756173,0.074,12206
2770621,0.0049,4832
2945541,0.0494,3916
3074821,0.0296,6187
3081204,0.0078,6781
3119260,0.0603,6138
3140450,0.0802,6526
3156575,0.006,3197
3164617,0.0275,4443
3252880,0.0086,3766
3264716,0.0788,14402
3291608,0.0377,9983
3323283,0.0308,16323
3434312,0.0324,1850
3543458,0.0405,2310
3552296,0.0203,8353
3809027,0.0166,11173
3868561,0.0744,2207
3925280,0.0875,6709
3972802,0.0216,5409
3979157,0.039,3106
4002446,0.0687,2629
4015857,0,3817
4214715,0.0116,1216
4226484,0.071,5168
4373952,0.0136,6552
4393178,0.0577,3865
4397289,0.1587,4287
4405999,0.0945,10027
4419461,0.0442,7042
4464771,0,3852
4618269,0.0163,3498
4666592,0,2484
4762101,0.0134,4527
4804797,0.0373,7587
4851373,0.0709,2384
4863947,0.0271,8504
4876779,0.0535,7398
4893718,0.0826,11990
4906633,0.0013,12143
4932165,0.0203,5630
5023748,0.1233,2759
5166848,0.0291,11398
5188523,0.0281,8975
5205752,0.082,7097
5218571,0.04,3275
5222720,0.0227,19571
5267606,0.0198,10394
5364644,0.0179,6920
5381347,0,2333
5383724,0.0369,6633
5397068,0.05,4052
5561474,0.0458,15064
5606463,0.0134,6741
5655529,0.0293,4530
5720502,0.0849,3555
5776789,0.0502,13961
5790875,0.0288,8983
5831462,0.0379,1448
5837465,0.1157,3264
5854953,0.0228,3270
5915064,0.0827,1681
6044493,0.0383,3954
6053000,0.0065,7651
6350185,0.0978,5932
6379050,0.0182,9847
6390750,0.0269,4719
6487462,0.006,3144
6490715,0.022,974
6594800,0.0204,14653
6625946,0.0023,4334
6631743,0.0046,4216
6640600,0.0081,9164
6655993,0.0054,7664
6783748,0.0151,10581
6797838,0.0138,6808
6805728,0.0102,4343
6891088,0.0346,9080
6908430,0.0103,4835
7284776,0.0046,19954
7359852,0.0244,3421
7379247,0.0142,5590
7427353,0.0086,3734
7459148,0.0138,968
7497140,0.0035,8650
7505816,0,4049
7510565,0.003,5657
7587618,0.0015,11556
7657981,0.003,5882
7740720,0.0154,7565
7750722,0.033,3512
7783644,0.003,8286
7805450,0.0016,9264
7828683,0.0033,8181
7902427,0.0038,3394
7910897,0.0027,5408
7921073,0,3934
7925657,0,2346
8173130,0.0077,4408
8179128,0,1668
8190709,0,3680
8197574,0.0052,10372
8209370,0.0032,6343
8256171,0.0117,5052
8263839,0.0016,9314
8381034,0,4180
8387230,0,1758
8392669,5e-4,35199
8432276,0.0017,5211
8437842,0.0021,8485
8450835,0.0066,4744
8462228,0,3971
8467166,0.0152,2810
8470065,0,2670
8472736,0.0195,1301
8887563,0,6720
9027383,0,6766
9109092,0,3778
9874685,0,4141
9921487,0,7919
9929395,0,1921
9932286,0.0073,3072
9935817,0,3453
9961127,0.0104,782
9964727,0.0061,11327
9976636,0,8066
9985440,0.0054,7016
10069580,0.032,6550
10177697,0.0012,6367
10211138,0.0092,4975
10266554,0.0162,8096
10275851,0,4504
10484908,0.0588,2994
10490388,0.0479,3732
10559326,0.0224,3861
10621796,0.0061,6839
10669545,0.018,21694
10715655,0.0171,9002
10833582,0.046,6274
10882497,0.0091,3818
10893749,0.0264,5204
11091462,0.0052,1116
11146029,0.0604,6782
11359036,0.005,4522
11439579,0.045,16421
11457012,0.0422,6489
11485014,0.0446,5199
11601104,0.0506,9240
11612381,0.059,13077
11629282,0.0628,12944
11735652,0.0568,9603
11809185,0.0115,4559
11906302,0.093,7911
11917742,0.0623,4439
12956934,0.0743,3840
13084655,0.0276,7191
13096419,0.0245,2202
13336931,0.0362,6614
13788539,0.0686,5910
13857149,0.0241,8626
13929819,0.0262,5553
14145656,0.0268,3382
14175246,0.0044,6531
14182971,0.0394,3473
14259324,0.0463,3062
14830816,0.0219,9329
14856095,0.0274,10154
14901864,0.0096,1160
15074962,0.0321,5108
15147385,0.0285,7488
15155572,0.0065,3476
15159146,0.0171,1668
15161962,0.0432,3961
15198016,0.008,5876
15830480,0.0366,7249
16037069,0.0635,2099
16770903,0,4062
17325470,0.1573,2950
17889480,0.0503,5155
17928734,0.0489,5879
18880231,0.0185,2457
19028096,0.1023,17843
19922916,0.0663,4562
20371621,0.066,3636
20765400,0.0445,6162
20773290,0.067,2235
21077446,0.0735,4863
21457100,0.004,2928
21951730,0.0847,2659
22872189,0.0548,6264
22878250,0.1296,5475
23588976,0.162,4223
23633769,0.0603,12126
23647701,0.0222,5939
23917506,0.0425,5347
24083085,0.0491,11945
24377344,0.1077,3060
24391147,0.0913,3719
26139200,0.0222,48330
26795822,0.1077,7456
27675217,0.0818,3884
29817636,0.053900000000000003,16255
36564479,0.076,3386
36776284,0.0859,4411
37040248,0.13,6363
38350466,0.0985,2722
38582009,0.0396,5886
38591081,0.0603,3999
40771304,0.0139,1999
43047098,0.0411,2318
43085051,0.0267,3908
44269221,0.0496,5571
47152016,0.0246,2826
47442303,0.0383,13051
48640381,0.025,3842
48831905,0.0195,5776
52511462,0.0425,4205
53441251,0.0241,6178
53452629,0.0139,4115
56238089,0.0387,4686
59019608,0.0464,3681
59483584,0.0569,5429
59867856,0.0584,5211
60612967,0.0312,1506
60797852,0.0033,29055
62893642,0.0294,5466
63170074,0.012,1031
64109700,0.0317,19497
64816491,0.023,25952
65600012,0.0119,4201
65605937,0.02,4082
65784348,0.0437,6832
66518584,0.0229,12712
68963057,0.0532,9453
69605689,0.0437,9043
72134901,0.0362,13768
78573393,0.0316,2197
79502377,0.0156,4333
80566118,0.0594,2035
82195883,0.0134,20189
83305591,0.0316,5160
88581689,0.0371,8973
91511928,0.0549,6210
92521628,0.0141,1820
92525214,0.0442,5544
93765402,0,3763
95073118,0.0304,9840
96498368,0.0109,4474
98206110,0.0323,4861
101834792,0.0356,16004
105332498,0.0447,4536
106642397,0.0358,6489
107367434,0.0304,17853
107792441,0.0454,6437
111949127,0.0306,5174
114048883,0.0401,7198
114315658,0.0454,4756
115634111,0.0093,8341
116596780,0.0489,4978
120070702,0.035,8027
120983698,0.0402,6913
122562146,0.0042,3165
123315748,0.0255,2470
126589304,0.0291,8927
128685495,0.0739,1591
130454369,0.0331,13428
131379921,0.0421,3071
133120890,0.0354,1592
133122483,0,2965
133126659,0.0172,7366
134349892,0.0156,3412
135082711,0.0195,5463
138277886,0.0678,2732
142746103,0.0533,13537
148250356,0.0269,7995
148295672,0.0507,5646
150322789,0.0245,7705
152118320,0.121,2653
153025064,0.0468,8623
153568086,0.086,6116
156650480,0.0275,11639
160514791,0.0108,4075
160767505,0.0832,8166
176123313,0.0434,25745
179375024,0.0288,2190
179377893,0.1165,3998
184411161,0.0553,26843
185936887,0.018,4201
185941089,0.0401,20065
187671100,0.0334,9745
188042717,0.0502,7326
196574472,0.0436,4419
197241309,0.0337,2857
197412330,0.029,10401
198013799,0.0626,6273
207441954,0.04,4313
210820555,0.0567,9184
216120322,0.0366,3978
216565444,0.0095,6660
216598148,0.0729,2958
217544649,0.0367,14085
221642678,0.0463,29430
223190579,0.0497,10051
225479068,0.0325,7075
230838098,0.0358,5966
231613156,0.0361,2083
233153176,0.0231,4086
237790804,0.0119,11180
237801985,0.0054,3173
239141547,0.0417,8572
241462998,0.0144,5810
242801834,0.0462,3437
244110837,0.0158,7702
245943532,0.0501,11704
247109545,0.0234,9524
249364116,0.0477,3063
249938006,0.1208,2114
251751150,0.0499,11398
253624393,0.0242,9100
254207529,0.0134,13549
256027879,0.0599,2090
256645397,0.0412,5218
257016404,0.0264,19910
258065218,0.0305,3672
258392739,0.0649,6904
259061600,0.0192,6318
260910687,0,3506
261563266,0.0333,11575
263245007,0.0634,6152
263253529,0.0256,8821
263282144,0.0174,8018
264694658,0.0194,12237
265463579,0.0936,2512
265496738,0.0191,3095
265870600,0.0367,11032
272060847,0.0175,24534
272480905,0.0175,10758
272495612,0.0279,2508
274197297,0.0292,11969
274242917,0.0198,4082
274279666,0.02,5439
274785604,0.0995,2208
274953092,0.1063,6272
276672441,0.0096,4252
277549816,0.0273,20880
278306681,0.0553,13607
281928757,0.0593,7715
282129418,0.0261,11074
283410506,0.0018,10406
286113316,0.01,10279
286514749,0.0122,7274
287839504,0.0073,6536
287848674,0.0262,2219
288497076,0.0241,6037
289522009,0.0366,4058
289697736,0.008,6911
290684548,0.0509,7149
290771552,0.033,5511
291403900,0.0294,8588
292520387,0.0252,6704
292527975,0.0076,3471
292538622,0.0304,5507
292688329,0.0105,5730
292866544,0.0271,7490
292951387,0.0293,6150
294305539,0.0034,8592
294824466,0.0278,5085
294836406,0.008,9619
296276525,0.0243,272
296852679,0.0077,9853
298115220,0.0059,3208
298582459,0.0553,4984
299077409,0.0133,6011
299435049,0.0452,3568
299441550,0.0142,7849
299917495,0.0203,5241
300101781,0.039,7894
300109676,0.0317,5021
301746861,0.0108,13504
301786835,0.0202,6692
301891575,0.0054,4949
302073616,0,5664
302318759,0.0074,17415
302412866,0.0259,1908
302904118,0.0587,3324
302972897,0.0472,3943
304658947,0.0393,5457
304672348,0,4189
305562118,0.0104,5238
305588666,0.0139,9163
305942392,0.0036,14521
306394380,0.0088,10390
306418302,0.0077,12094
306759907,0,6321
306766667,0.0039,5362
307267441,0,4335
307461435,0.0152,4129
307474239,0.0149,6445
308101377,0.0231,3870
308296422,0.0187,4009
308912377,0.0195,7263
309320796,0.0111,7585
309617782,0.0299,1963
310722267,0.0108,2503
311995130,0.0063,982
312525406,0,4230
312552300,0.0053,5048
312558319,0.0052,3138
312561594,0.0124,2650
312570020,0.0295,6381
312871196,0.0531,7656
313240539,0,7336
313253240,0.0047,4119
