V1,V2
chr10_000303.1,0
chr10_000307.1,0
chr10_000308.1,0
chr10_000312.1,0
chr10_000313.1,0.153846153846154
chr10_000314.1,0
chr10_000320.1,0
chr10_000326.1,0
chr10_000333.1,0
chr10_000334.1,0
chr10_000335.1,0
chr10_000341.1,0.0169491525423729
chr10_000344.1,0
chr10_000345.1,0
chr10_000349.1,0
chr10_000350.1,0
chr1_000035.1,0
chr10_000356.1,0
chr10_000357.1,0
chr10_000358.1,0
chr10_000359.1,0
chr10_000363.1,0
chr10_000364.1,0.179487179487179
chr10_000365.1,0
chr10_000367.1,0
chr10_000371.1,0.111111111111111
chr10_000382.1,0
chr10_000384.1,0
chr10_000388.1,0
chr10_000390.1,0
chr10_000391.1,0
chr10_000394.1,0
chr10_000411.1,0.133333333333333
chr10_000416.1,0
chr10_000417.1,0
chr10_000426.1,0
chr10_000433.1,0.0699588477366255
chr10_000434.1,0
chr10_000435.1,0
chr10_000443.1,0
chr10_000446.1,0
chr10_000451.1,0.0625
chr10_000457.1,0
chr10_000569.1,0
chr10_000589.1,0
chr10_000590.1,0
chr10_000600.1,0
chr10_000605.1,0
chr10_000607.1,0
chr10_000608.1,0
chr10_000609.1,0
chr10_000610.1,0.0222222222222222
chr10_000626.1,0
chr10_000630.1,0
chr10_000631.1,0
chr10_000632.1,0
chr10_000635.1,0
chr10_000637.1,0.0392156862745098
chr10_000638.1,0
chr10_000649.1,0
chr10_000660.1,0.0851063829787234
chr10_000663.1,0.027027027027027
chr10_000667.1,0.0833333333333333
chr10_000670.1,0.0769230769230769
chr10_000686.1,0.08
chr10_000688.1,0.0476190476190476
chr10_000691.1,0.272727272727273
chr10_000694.1,0
chr10_000695.1,0
chr10_000697.1,0
chr10_000701.1,0.025
chr10_000723.1,0
chr10_000734.1,0.0153846153846154
chr10_000735.1,0
chr10_000736.1,0
chr10_000738.1,0.010989010989011
chr10_000740.1,0.0869565217391304
chr10_000742.1,0.0218978102189781
chr10_000743.1,0
chr10_000745.1,0.0408163265306122
chr10_000756.1,0
chr10_000757.1,0.05
chr10_000759.1,0
chr10_000760.1,0
chr10_000761.1,0.12
chr10_000765.1,0.142857142857143
chr10_000769.1,0
chr10_000789.1,0.0151515151515152
chr10_000802.1,0
chr10_000804.1,0.192307692307692
chr10_000805.1,0
chr10_000806.1,0
chr10_000811.1,0.0444444444444444
chr10_000820.1,0.0434782608695652
chr10_000821.1,0.0357142857142857
chr10_000824.1,0.0357142857142857
chr10_000825.1,0.285714285714286
chr10_000828.1,0.25
chr10_000829.1,0.121951219512195
chr10_000831.1,0
chr10_000834.1,0
chr10_000835.1,0
chr10_000844.1,0.0769230769230769
chr10_000850.1,0
chr10_000864.1,0.0416666666666667
chr10_000867.1,0
chr10_000868.1,0.0487804878048781
chr10_000869.1,0.0810810810810811
chr10_000876.1,0
chr10_000884.1,0
chr10_000894.1,0
chr10_000901.1,0
chr10_000904.1,0
chr10_000905.1,0
chr10_000934.1,0
chr10_000968.1,0
chr10_000981.1,0
chr10_000984.1,0
chr10_000985.1,0.0163934426229508
chr10_000990.1,0
chr10_000991.1,0
chr10_001002.1,0
chr10_001003.1,0
chr10_001011.1,0
chr10_001017.1,0
chr10_001018.1,0
chr10_001027.1,0
chr10_001029.1,0
chr10_001032.1,0
chr10_001044.1,0
chr10_001046.1,0.0952380952380952
chr10_001047.1,0
chr10_001052.1,0
chr10_001056.1,0
chr10_001058.1,0
chr10_001059.1,0.142857142857143
chr10_001088.1,0
chr10_001095.1,0.0277777777777778
chr10_001108.1,0
chr10_001116.1,0
chr10_001118.1,0
chr10_001138.1,0
chr10_001342.1,0
chr10_001432.1,0
chr10_001435.1,0
chr10_001436.1,0
chr10_001439.1,0
chr10_001440.1,0
chr10_001444.1,0
chr10_001451.1,0
chr10_001452.1,0
chr10_001462.1,0.315789473684211
chr10_001463.1,0
chr10_001473.1,0
chr10_001475.1,0
chr10_001477.1,0
chr10_001479.1,0
chr10_001480.1,0
chr10_001491.1,0.137254901960784
chr10_001509.1,0.0555555555555556
chr10_001512.1,0.333333333333333
chr10_001515.1,0
chr10_001519.1,0.111111111111111
chr10_001520.1,0
chr10_001522.1,0.0833333333333333
chr10_001523.1,0
chr10_001535.1,0
chr10_001536.1,0
chr10_001553.1,0
chr10_001593.1,0
chr10_001598.1,0
chr10_001601.1,0
chr10_001602.1,0
chr10_001643.1,0
chr10_001651.1,0
chr10_001667.1,0
chr10_001670.1,0
chr10_001671.1,0
chr10_001673.1,0
chr10_001675.1,0
chr10_001676.1,0
chr10_001681.1,0
