fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
chr10_000303.1	_chr10_000303.1_X	0		408	_chr10_000303.1_Y	0		408	408	0.0468
chr10_000307.1	_chr10_000307.1_X	0		1146	_chr10_000307.1_Y	0		1146	1146	0.0200
chr10_000308.1	_chr10_000308.1_X	0		1695	_chr10_000308.1_Y	0		1695	1695	0
chr10_000312.1	_chr10_000312.1_X	0		1989	_chr10_000312.1_Y	0		1989	1989	0.0067
chr10_000313.1	_chr10_000313.1_X	0		852	_chr10_000313.1_Y	0		852	852	0.0166
chr10_000314.1	_chr10_000314.1_X	0		750	_chr10_000314.1_Y	0		750	750	0
chr10_000320.1	_chr10_000320.1_X	0		1062	_chr10_000320.1_Y	0		1062	1062	0.0033
chr10_000326.1	_chr10_000326.1_X	0		546	_chr10_000326.1_Y	0		546	546	0
chr10_000333.1	_chr10_000333.1_X	0		1755	_chr10_000333.1_Y	0		1755	1755	0
chr10_000334.1	_chr10_000334.1_X	0		750	_chr10_000334.1_Y	0		750	750	0
chr10_000335.1	_chr10_000335.1_X	0		3543	_chr10_000335.1_Y	0		3543	3543	0.0030
chr10_000341.1	_chr10_000341.1_X	0		1215	_chr10_000341.1_Y	0		1215	1215	0.0086
chr10_000344.1	_chr10_000344.1_X	0		3543	_chr10_000344.1_Y	0		3543	3543	0.0013
chr10_000345.1	_chr10_000345.1_X	0		1128	_chr10_000345.1_Y	0		1128	1128	0.0178
chr10_000349.1	_chr10_000349.1_X	0		585	_chr10_000349.1_Y	0		585	585	0
chr10_000350.1	_chr10_000350.1_X	0		1635	_chr10_000350.1_Y	0		1635	1635	0
chr1_000035.1	_chr1_000035.1_X	0		1158	_chr1_000035.1_Y	0		1158	1158	0.0053
chr10_000356.1	_chr10_000356.1_X	0		2226	_chr10_000356.1_Y	0		2226	2226	0.0128
chr10_000357.1	_chr10_000357.1_X	0		1527	_chr10_000357.1_Y	0		1527	1527	0.0051
chr10_000358.1	_chr10_000358.1_X	0		1383	_chr10_000358.1_Y	0		1383	1383	0.0026
chr10_000359.1	_chr10_000359.1_X	0		1791	_chr10_000359.1_Y	0		1791	1791	0.0409
chr10_000363.1	_chr10_000363.1_X	0		2565	_chr10_000363.1_Y	0		2565	2565	0.0033
chr10_000364.1	_chr10_000364.1_X	0		1155	_chr10_000364.1_Y	0		1155	1155	0
chr10_000365.1	_chr10_000365.1_X	0		1428	_chr10_000365.1_Y	0		1428	1428	0
chr10_000371.1	_chr10_000371.1_X	0		1149	_chr10_000371.1_Y	0		1149	1149	0.0052
chr10_000382.1	_chr10_000382.1_X	0		3534	_chr10_000382.1_Y	0		3534	3534	0.0391
chr10_000384.1	_chr10_000384.1_X	0		1077	_chr10_000384.1_Y	0		1077	1077	0.0036
chr10_000388.1	_chr10_000388.1_X	0		1266	_chr10_000388.1_Y	0		1266	1266	0.0450
chr10_000390.1	_chr10_000390.1_X	0		717	_chr10_000390.1_Y	0		717	717	0
chr10_000391.1	_chr10_000391.1_X	0		1107	_chr10_000391.1_Y	0		1107	1107	0.0424
chr10_000394.1	_chr10_000394.1_X	0		1518	_chr10_000394.1_Y	0		1518	1518	0
chr10_000411.1	_chr10_000411.1_X	0		672	_chr10_000411.1_Y	0		672	672	0
chr10_000416.1	_chr10_000416.1_X	0		1941	_chr10_000416.1_Y	0		1941	1941	0.0021
chr10_000417.1	_chr10_000417.1_X	0		705	_chr10_000417.1_Y	0		705	705	0
chr10_000426.1	_chr10_000426.1_X	0		384	_chr10_000426.1_Y	0		384	384	0.0094
chr10_000433.1	_chr10_000433.1_X	0		3774	_chr10_000433.1_Y	0		3774	3774	0.0037
chr10_000434.1	_chr10_000434.1_X	0		669	_chr10_000434.1_Y	0		669	669	0
chr10_000435.1	_chr10_000435.1_X	0		1368	_chr10_000435.1_Y	0		1368	1368	0.0029
chr10_000443.1	_chr10_000443.1_X	0		1755	_chr10_000443.1_Y	0		1755	1755	0
chr10_000446.1	_chr10_000446.1_X	0		1263	_chr10_000446.1_Y	0		1263	1263	0.0027
chr10_000451.1	_chr10_000451.1_X	0		1389	_chr10_000451.1_Y	0		1389	1389	0
chr10_000457.1	_chr10_000457.1_X	0		798	_chr10_000457.1_Y	0		798	798	0
chr10_000569.1	_chr10_000569.1_X	0		1026	_chr10_000569.1_Y	0		1026	1026	0
chr10_000589.1	_chr10_000589.1_X	0		1920	_chr10_000589.1_Y	0		1920	1920	0
chr10_000590.1	_chr10_000590.1_X	0		402	_chr10_000590.1_Y	0		402	402	0
chr10_000600.1	_chr10_000600.1_X	0		3102	_chr10_000600.1_Y	0		3102	3102	0.0244
chr10_000605.1	_chr10_000605.1_X	0		5223	_chr10_000605.1_Y	0		5223	5223	0.0084
chr10_000607.1	_chr10_000607.1_X	0		6024	_chr10_000607.1_Y	0		6024	6024	0.0220
chr10_000608.1	_chr10_000608.1_X	0		852	_chr10_000608.1_Y	0		852	852	0.0232
chr10_000609.1	_chr10_000609.1_X	0		645	_chr10_000609.1_Y	0		645	645	0.0311
