fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
g1016.t1	g1016.t1_Z	0		660	g1016.t1_W	0		660	660	0.0330
g1017.t1	g1017.t1_Z	0		1230	g1017.t1_W	0		1230	1230	0.0072
g1018.t1	g1018.t1_Z	0		1869	g1018.t1_W	0		1869	1869	0.0125
g1019.t1	g1019.t1_Z	0		711	g1019.t1_W	0		711	711	0.0057
g1026.t1	g1026.t1_Z	0		2715	g1026.t1_W	0		2715	2715	0.0064
g1027.t1	g1027.t1_Z	0		1017	g1027.t1_W	0		1017	1017	0.0040
g1033.t1	g1033.t1_Z	0		501	g1033.t1_W	0		501	501	0.0083
g1040.t1	g1040.t1_Z	0		4683	g1040.t1_W	0		4683	4683	0.0156
g1041.t1	g1041.t1_Z	0		3180	g1041.t1_W	0		3180	3180	0.0154
g1042.t1	g1042.t1_Z	0		1593	g1042.t1_W	0		1593	1593	0.0103
g1045.t1	g1045.t1_Z	0		807	g1045.t1_W	0		807	807	0.0067
g1049.t1	g1049.t1_Z	0		5649	g1049.t1_W	0		5649	5649	0.0038
g1051.t1	g1051.t1_Z	0		2583	g1051.t1_W	0		2583	2583	0.0077
g1053.t1	g1053.t1_Z	0		867	g1053.t1_W	0		867	867	0.0331
g1054.t1	g1054.t1_Z	0		360	g1054.t1_W	0		360	360	0.0121
g10569.t1	g10569.t1_Z	0		2436	g10569.t1_W	0		2436	2436	0
g1062.t1	g1062.t1_Z	0		1041	g1062.t1_W	0		1041	1041	0.0204
g1063.t2	g1063.t2_Z	0		810	g1063.t2_W	0		810	810	0.0297
g1066.t1	g1066.t1_Z	0		1305	g1066.t1_W	0		1305	1305	0.0322
g1072.t1	g1072.t1_Z	0		1020	g1072.t1_W	0		1020	1020	0.0130
g1075.t1	g1075.t1_Z	0		1152	g1075.t1_W	0		1152	1152	0.0120
g1076.t1	g1076.t1_Z	0		1839	g1076.t1_W	0		1839	1839	0.0142
g1078.t2	g1078.t2_Z	0		1257	g1078.t2_W	0		1257	1257	0.0029
g1079.t1	g1079.t1_Z	0		3843	g1079.t1_W	0		3843	3843	0.0215
g1083.t1	g1083.t1_Z	0		1854	g1083.t1_W	0		1854	1854	0.0095
g1084.t1	g1084.t1_Z	0		2418	g1084.t1_W	0		2418	2418	0.0033
g1085.t2	g1085.t2_Z	0		1242	g1085.t2_W	0		1242	1242	0.0070
g1087.t1	g1087.t1_Z	0		1512	g1087.t1_W	0		1512	1512	0.0053
g1088.t1	g1088.t1_Z	0		2409	g1088.t1_W	0		2409	2409	0.0017
g1089.t1	g1089.t1_Z	0		867	g1089.t1_W	0		867	867	0.0043
g1094.t1	g1094.t1_Z	0		525	g1094.t1_W	0		525	525	0
g10953.t2	g10953.t2_Z	0		1878	g10953.t2_W	0		1878	1878	0.0111
g1104.t1	g1104.t1_Z	0		2127	g1104.t1_W	0		2127	2127	0.0161
g11054.t1	g11054.t1_Z	0		3249	g11054.t1_W	0		3249	3249	0.0016
g1105.t1	g1105.t1_Z	0		1947	g1105.t1_W	0		1947	1947	0.0149
g1108.t2	g1108.t2_Z	0		2562	g1108.t2_W	0		2562	2562	0.0101
g1109.t1	g1109.t1_Z	0		1485	g1109.t1_W	0		1485	1485	0.0098
g1123.t1	g1123.t1_Z	0		957	g1123.t1_W	0		957	957	0.0097
g1134.t1	g1134.t1_Z	0		573	g1134.t1_W	0		573	573	0
g1147.t1	g1147.t1_Z	0		2199	g1147.t1_W	0		2199	2199	0.0117
g1150.t1	g1150.t1_Z	0		567	g1150.t1_W	0		567	567	0
g1151.t1	g1151.t1_Z	0		651	g1151.t1_W	0		651	651	0.0125
g1153.t1	g1153.t1_Z	0		1257	g1153.t1_W	0		1257	1257	0.0036
g1157.t1	g1157.t1_Z	0		381	g1157.t1_W	0		381	381	0.0125
g1158.t1	g1158.t1_Z	0		342	g1158.t1_W	0		342	342	0
g1162.t1	g1162.t1_Z	0		864	g1162.t1_W	0		864	864	0
g1164.t1	g1164.t1_Z	0		609	g1164.t1_W	0		609	609	0.0189
g1167.t1	g1167.t1_Z	0		1062	g1167.t1_W	0		1062	1062	0
g1172.t1	g1172.t1_Z	0		321	g1172.t1_W	0		321	321	0.0139
g1176.t1	g1176.t1_Z	0		585	g1176.t1_W	0		585	585	0
g1180.t1	g1180.t1_Z	0		903	g1180.t1_W	0		903	903	0.0175
g1181.t1	g1181.t1_Z	0		1158	g1181.t1_W	0		1158	1158	0.0075
g1182.t1	g1182.t1_Z	0		705	g1182.t1_W	0		705	705	0.0062
g1184.t1	g1184.t1_Z	0		2109	g1184.t1_W	0		2109	2109	0.0076
g1187.t1	g1187.t1_Z	0		765	g1187.t1_W	0		765	765	0.0205
g1188.t1	g1188.t1_Z	0		2343	g1188.t1_W	0		2343	2343	0.0069
g1191.t1	g1191.t1_Z	0		306	g1191.t1_W	0		306	306	0.0134
g1195.t1	g1195.t1_Z	0		1434	g1195.t1_W	0		1434	1434	0.0068
g1196.t1	g1196.t1_Z	0		2922	g1196.t1_W	0		2922	2922	0.0014
g1202.t1	g1202.t1_Z	0		2235	g1202.t1_W	0		2235	2235	0.0054
g1205.t1	g1205.t1_Z	0		612	g1205.t1_W	0		612	612	0.0064
g1218.t1	g1218.t1_Z	0		810	g1218.t1_W	0		810	810	0.0154
g1223.t1	g1223.t1_Z	0		315	g1223.t1_W	0		315	315	0.0126
g1224.t1	g1224.t1_Z	0		588	g1224.t1_W	0		588	588	0.0174
g1226.t1	g1226.t1_Z	0		618	g1226.t1_W	0		618	618	0.0130
g1227.t1	g1227.t1_Z	0		465	g1227.t1_W	0		465	465	0
g1228.t1	g1228.t1_Z	0		378	g1228.t1_W	0		378	378	0
g1229.t2	g1229.t2_Z	0		606	g1229.t2_W	1	,577	606	606	0.0190
g1230.t1	g1230.t1_Z	0		432	g1230.t1_W	0		432	432	0.0086
g1242.t1	g1242.t1_Z	0		2541	g1242.t1_W	0		2541	2541	0.0114
g1243.t1	g1243.t1_Z	0		861	g1243.t1_W	0		861	861	0.0107
g1246.t1	g1246.t1_Z	0		1224	g1246.t1_W	0		1224	1224	0.0295
g1250.t1	g1250.t1_Z	0		510	g1250.t1_W	0		510	510	0.0083
g1258.t1	g1258.t1_Z	0		1266	g1258.t1_W	0		1266	1266	0
g1260.t1	g1260.t1_Z	0		423	g1260.t1_W	0		423	423	0.0220
g1263.t1	g1263.t1_Z	0		1074	g1263.t1_W	0		1074	1074	0.0170
g1265.t1	g1265.t1_Z	0		1047	g1265.t1_W	0		1047	1047	0.0067
g1267.t1	g1267.t1_Z	0		408	g1267.t1_W	0		408	408	0.0236
g1270.t2	g1270.t2_Z	0		792	g1270.t2_W	0		792	792	0.0113
g1271.t1	g1271.t1_Z	0		597	g1271.t1_W	0		597	597	0
g1272.t1	g1272.t1_Z	0		1473	g1272.t1_W	0		1473	1473	0.0156
g1274.t1	g1274.t1_Z	0		633	g1274.t1_W	0		633	633	0.0062
g1275.t1	g1275.t1_Z	0		657	g1275.t1_W	0		657	657	0.0071
g1277.t1	g1277.t1_Z	0		1461	g1277.t1_W	0		1461	1461	0.0205
g1278.t1	g1278.t1_Z	0		1140	g1278.t1_W	0		1140	1140	0.0114
g1279.t1	g1279.t1_Z	0		753	g1279.t1_W	0		753	753	0.0060
g1284.t1	g1284.t1_Z	0		1305	g1284.t1_W	0		1305	1305	0
g1290.t1	g1290.t1_Z	0		1362	g1290.t1_W	0		1362	1362	0.0100
g1291.t1	g1291.t1_Z	0		357	g1291.t1_W	0		357	357	0.0466
g1301.t1	g1301.t1_Z	0		1047	g1301.t1_W	0		1047	1047	0.0072
g1308.t1	g1308.t1_Z	0		1404	g1308.t1_W	0		1404	1404	0.0193
g1309.t1	g1309.t1_Z	0		492	g1309.t1_W	0		492	492	0
g1310.t1	g1310.t1_Z	0		1347	g1310.t1_W	0		1347	1347	0.0284
g1311.t1	g1311.t1_Z	0		1368	g1311.t1_W	0		1368	1368	0.0215
g1312.t1	g1312.t1_Z	0		1095	g1312.t1_W	0		1095	1095	0.0177
g1313.t1	g1313.t1_Z	0		2106	g1313.t1_W	0		2106	2106	0.0103
g1317.t1	g1317.t1_Z	0		402	g1317.t1_W	0		402	402	0
g1320.t1	g1320.t1_Z	0		2673	g1320.t1_W	0		2673	2673	0.0234
g1325.t1	g1325.t1_Z	0		1062	g1325.t1_W	0		1062	1062	0.0244
g1326.t1	g1326.t1_Z	0		1887	g1326.t1_W	0		1887	1887	0.0240
g1332.t1	g1332.t1_Z	0		684	g1332.t1_W	0		684	684	0.0413
g1333.t1	g1333.t1_Z	0		447	g1333.t1_W	0		447	447	0.0091
g1335.t1	g1335.t1_Z	0		1563	g1335.t1_W	0		1563	1563	0.0102
g1343.t1	g1343.t1_Z	0		786	g1343.t1_W	0		786	786	0.0183
g1348.t1	g1348.t1_Z	0		1377	g1348.t1_W	0		1377	1377	0.0032
g1350.t1	g1350.t1_Z	0		2826	g1350.t1_W	0		2826	2826	0.0192
g1351.t1	g1351.t1_Z	0		402	g1351.t1_W	0		402	402	0.0138
g1353.t1	g1353.t1_Z	0		486	g1353.t1_W	0		486	486	0.0180
g1354.t1	g1354.t1_Z	0		1008	g1354.t1_W	0		1008	1008	0.0084
g1355.t1	g1355.t1_Z	0		1554	g1355.t1_W	0		1554	1554	0.0026
g1357.t1	g1357.t1_Z	0		1500	g1357.t1_W	0		1500	1500	0.0321
g1360.t1	g1360.t1_Z	0		1578	g1360.t1_W	0		1578	1578	0.0217
g1361.t1	g1361.t1_Z	0		642	g1361.t1_W	1	,85	642	642	0.0332
g1363.t1	g1363.t1_Z	0		1437	g1363.t1_W	0		1437	1437	0.0082
g1364.t2	g1364.t2_Z	0		2496	g1364.t2_W	0		2496	2496	0.0060
g1366.t1	g1366.t1_Z	0		1188	g1366.t1_W	0		1188	1188	0.0158
g1369.t2	g1369.t2_Z	0		1341	g1369.t2_W	0		1341	1341	0.0086
g1370.t1	g1370.t1_Z	0		507	g1370.t1_W	0		507	507	0
g1383.t1	g1383.t1_Z	0		1131	g1383.t1_W	0		1131	1131	0.0142
g1384.t1	g1384.t1_Z	0		1797	g1384.t1_W	0		1797	1797	0.0151
g1385.t1	g1385.t1_Z	0		1590	g1385.t1_W	0		1590	1590	0.0488
g1391.t1	g1391.t1_Z	0		648	g1391.t1_W	0		648	648	0.0155
g141.t1	g141.t1_Z	0		1293	g141.t1_W	0		1293	1293	0.0221
g14415.t1	g14415.t1_Z	0		882	g14415.t1_W	0		882	882	0
g1520.t1	g1520.t1_Z	0		1695	g1520.t1_W	0		1695	1695	0
g15427.t1	g15427.t1_Z	0		636	g15427.t1_W	0		636	636	0.0090
g1550.t1	g1550.t1_Z	0		1083	g1550.t1_W	0		1083	1083	0.0081
g1561.t1	g1561.t1_Z	0		957	g1561.t1_W	0		957	957	0.0302
g1562.t2	g1562.t2_Z	0		2502	g1562.t2_W	0		2502	2502	0.0154
g15837.t1	g15837.t1_Z	0		801	g15837.t1_W	1	,538	801	801	0.0067
g158.t1	g158.t1_Z	0		627	g158.t1_W	0		627	627	0.0171
g160.t1	g160.t1_Z	0		939	g160.t1_W	0		939	939	0.0086
g161.t1	g161.t1_Z	0		1506	g161.t1_W	0		1506	1506	0.0179
g162.t1	g162.t1_Z	0		714	g162.t1_W	0		714	714	0.0602
g163.t1	g163.t1_Z	0		4008	g163.t1_W	0		4008	4008	0.0205
g16404.t1	g16404.t1_Z	0		4866	g16404.t1_W	0		4866	4866	0.0027
g169.t1	g169.t1_Z	0		636	g169.t1_W	0		636	636	0.0117
g175.t1	g175.t1_Z	0		687	g175.t1_W	0		687	687	0
g17626.t1	g17626.t1_Z	0		513	g17626.t1_W	0		513	513	0.0627
g177.t1	g177.t1_Z	0		3294	g177.t1_W	0		3294	3294	0.0093
g179.t1	g179.t1_Z	0		1305	g179.t1_W	0		1305	1305	0.0152
g183.t2	g183.t2_Z	0		1140	g183.t2_W	0		1140	1140	0.0084
g18651.t1	g18651.t1_Z	0		858	g18651.t1_W	0		858	858	0.0070
g186.t1	g186.t1_Z	0		1515	g186.t1_W	0		1515	1515	0.0090
g187.t1	g187.t1_Z	0		405	g187.t1_W	0		405	405	0
g194.t1	g194.t1_Z	0		774	g194.t1_W	0		774	774	0.0049
g196.t1	g196.t1_Z	0		540	g196.t1_W	0		540	540	0.0250
g20021.t2	g20021.t2_Z	0		3117	g20021.t2_W	0		3117	3117	0.0042
g203.t1	g203.t1_Z	0		411	g203.t1_W	0		411	411	0
g204.t1	g204.t1_Z	0		1128	g204.t1_W	0		1128	1128	0.0071
g20532.t1	g20532.t1_Z	0		1356	g20532.t1_W	0		1356	1356	0
g20692.t1	g20692.t1_Z	0		2586	g20692.t1_W	0		2586	2586	0.0023
g21104.t1	g21104.t1_Z	0		1647	g21104.t1_W	0		1647	1647	0.0206
