Start,dS,Length
291679,0.0267,1581
351956,0.0538,6968
669245,0.0705,6418
960374,0.0617,5401
1237234,0.077,6582
1245078,0,6948
1275163,0.0588,7694
1341713,0.0257,8418
1571710,0.0079,5581
1873659,0.0242,3808
2373711,0,5380
2430282,0.0086,3909
2457925,0.037,4949
2724249,0.0079,5896
2756173,0.085,12206
2770621,0.0048,4832
3119260,0.0624,6138
3136495,0.0113,2558
3148059,0.0136,7357
3164617,0,4443
3172857,0.0074,11484
3186948,0.0048,13227
3223087,0.0039,21156
3252880,0.0045,3766
3264716,0.0055,14402
3291608,0.0267,9983
3323283,0.0506,16323
3543458,0.0446,2310
3552296,0.0209,8353
3868561,0.056,2207
3881919,0.031,5614
3972802,0.0146,5409
3979157,0,3106
4226484,0.0535,5168
4373952,0.0198,6552
4393178,0.0722,3865
4405999,0.073,10027
4419461,0.0359,7042
4672568,0,2503
4762101,0.0132,4527
4851373,0.0649,2384
4893718,0.045,11990
4906633,0.022,12143
4932165,0.0218,5630
5102754,0.0212,8919
5112571,0.0185,6328
5166848,0.0326,11398
5184833,0.0078,3379
5188523,0.0414,8975
5205752,0.0721,7097
5218571,0.0606,3275
5267606,0.0115,10394
5364644,0.0437,6920
5383724,0.0541,6633
5561474,0.036,15064
5606463,0.0251,6741
5655529,0,4530
5769054,0.02,5863
5776789,0.0412,13961
5790875,0.022,8983
5854953,0.0199,3270
5915064,0.0641,1681
6053000,0.0194,7651
6201133,0,6711
6350185,0.0356,5932
6379050,0.0305,9847
6390750,0.0196,4719
6490715,0.0209,974
6511153,0.0189,5680
6594800,0.0214,14653
6625946,0,4334
6631743,0.0112,4216
6640600,0.0064,9164
6655993,0.0108,7664
6783748,0.0171,10581
6805728,0.003,4343
6891088,0.0384,9080
6908430,0.0056,4835
7359852,0.01,3421
7379247,0.0236,5590
7427353,0.0149,3734
7459148,0.0148,968
7497140,0.0086,8650
7505816,0.0043,4049
7510565,0.0101,5657
7570184,0.0161,4821
7587618,0.0021,11556
7657981,0.01,5882
7666923,0.0292,3099
7717656,0.0038,3337
7740720,0.0016,7565
7750722,0,3512
7783644,0.0108,8286
7805450,0.0041,9264
7828683,0.0097,8181
7902427,0.004,3394
7910897,0.005,5408
8173130,0.0136,4408
8177730,0.0205,610
8182292,0.0063,8308
8190709,0.0084,3680
8197574,0.0153,10372
8209370,0.0094,6343
8256171,0.0024,5052
8263839,0.007,9314
8387230,0.0157,1758
8392669,0.0027,35199
8432276,0.0036,5211
8437842,0.0086,8485
8450835,0.0161,4744
8462228,0.0166,3971
8467166,0,2810
8470065,0.0052,2670
8472736,0,1301
9027383,0.0041,6766
9874685,0.0033,4141
9929395,0.0179,1921
9932286,0.0142,3072
9935817,0.0052,3453
9961127,0,782
9962654,0,1331
9964727,0.0032,11327
9976636,0.0029,8066
9985440,0.032,7016
10059586,0.0126,1182
10069580,0.0043,6550
10077888,0.0087,4850
10211138,0.0193,4975
10266554,0.0169,8096
10439884,0,1964
10490388,0.0485,3732
10559326,0.0069,3861
10602363,0.0121,7742
10621796,0.0143,6839
10669545,0.017,21694
10715655,0.0559,9002
10859709,0.027,3918
10882497,0.0093,3818
10893749,0.0193,5204
11146029,0.031,6782
11439579,0.0375,16421
11457012,0.0021,6489
11485014,0.0525,5199
11601104,0.0455,9240
11612381,0.0467,13077
11629282,0.0488,12944
11906302,0.0867,7911
11917742,0.026,4439
13080226,0.0334,4094
13084655,0.0352,7191
13788539,0.078,5910
13857149,0.0178,8626
13873953,0.0057,3170
13929819,0.0257,5553
14145656,0.0102,3382
14160437,0.0468,827
14175246,0.0037,6531
14182971,0.0221,3473
14259324,0.027,3062
14830816,0.0172,9329
14856095,0.0225,10154
14901864,0,1160
15074962,0.0168,5108
15147385,0.0248,7488
15155572,0.0095,3476
15159146,0.0121,1668
15161962,0.0221,3961
15167570,0,2407
15198016,0.0078,5876
15830480,0.0335,7249
16770903,0,4062
17325470,0.0397,2950
17928734,0.0588,5879
19028096,0.0831,17843
19922916,0.0426,4562
20765400,0.0434,6162
21951730,0.0506,2659
22878250,0.1657,5475
23633769,0.0537,12126
23647701,0.0427,5939
24083085,0.0789,11945
26139200,0.0162,48330
27675217,0.062,3884
29817636,0.0585,16255
35535432,0.0131,3230
36776284,0.083,4411
37040248,0.0678,6363
38582009,0.0294,5886
43037848,0.0549,2999
43047098,0.0708,2318
43085051,0.066,3908
43167304,0.0335,1738
44269221,0.0271,5571
47442303,0.0434,13051
49870337,0,3865
52511462,0.0409,4205
53441251,0.0217,6178
53452629,0.0277,4115
56238089,0.0168,4686
59019608,0.0508,3681
59483584,0.0512,5429
59867856,0.0066,5211
60612967,0.032,1506
60797852,0.0144,29055
62893642,0.0219,5466
64109700,0.0232,19497
64816491,0.0171,25952
65349360,0.0376,3071
65600012,0.0225,4201
65605937,0.006,4082
65784348,0.0367,6832
66518584,0.0324,12712
69605689,0.0415,9043
72134901,0.0429,13768
78573393,0.0356,2197
82195883,0.0356,20189
84704139,0.0355,3869
91511928,0.0542,6210
92521628,0.0243,1820
92525214,0.053900000000000003,5544
93765402,0.0577,3763
96498368,0.0224,4474
98206110,0.043,4861
101834792,0.0381,16004
105332498,0.0382,4536
106642397,0.0434,6489
107367434,0.0224,17853
114048883,0.0246,7198
114315658,0.0569,4756
116596780,0.0525,4978
120070702,0.0389,8027
120983698,0.0405,6913
123315748,0.0328,2470
124353676,0.0121,17287
126589304,0.0536,8927
126836117,0.0289,11793
128685495,0.0569,1591
128900752,0.0151,18167
130454369,0.0414,13428
131379921,0.0375,3071
133120890,0.0226,1592
133126659,0.0197,7366
135082711,0.0163,5463
138277886,0.0657,2732
142746103,0.0505,13537
148250356,0.0292,7995
150322789,0.0446,7705
151371647,0.0497,9156
152118320,0.1274,2653
153025064,0.0414,8623
153568086,0.0843,6116
156650480,0.0185,11639
160514791,0.0205,4075
160767505,0.0915,8166
176123313,0.0437,25745
179377893,0.1289,3998
185936887,0.0185,4201
185941089,0.0293,20065
187671100,0.0374,9745
188042717,0.0428,7326
197241309,0.0358,2857
197412330,0.0324,10401
198013799,0.0475,6273
207441954,0.0403,4313
210820555,0.0302,9184
216120322,0.0353,3978
216598148,0.0749,2958
217544649,0.0351,14085
221642678,0.038,29430
223190579,0.0555,10051
225479068,0.0234,7075
226163360,0.0479,8317
230838098,0.0294,5966
231613156,0.0418,2083
233153176,0.0146,4086
237790804,0.0105,11180
237801985,0.0567,3173
239141547,0.0631,8572
239968288,0.0187,2830
241617535,0.046,2409
244110837,0.0254,7702
245943532,0.053,11704
247109545,0.0309,9524
249328099,0.0164,2448
249330341,0.0592,4023
249364116,0.0329,3063
251751150,0.0502,11398
253624393,0.0213,9100
254207529,0.0173,13549
256027879,0.053900000000000003,2090
256645397,0.0326,5218
257016404,0.0278,19910
258065218,0.04,3672
258392739,0.0626,6904
259061600,0.024,6318
260910687,0.0178,3506
261563266,0.0291,11575
263253529,0.042,8821
263282144,0.0167,8018
264694658,0.0221,12237
265496738,0.0094,3095
265870600,0.0264,11032
272060847,0.0162,24534
272480905,0.0085,10758
272495612,0.0338,2508
274197297,0.0501,11969
274273867,0.0054,5781
274279666,0.0354,5439
274763286,0.0624,6643
274785604,0.057,2208
274953092,0.0823,6272
276672441,0.0105,4252
277549816,0.0235,20880
278306681,0.0629,13607
281928757,0.0519,7715
282129418,0.0413,11074
283410506,0.0168,10406
286113316,0.0085,10279
286514749,0.0205,7274
287643803,0.0024,9494
287839504,0.0052,6536
287848674,0.0169,2219
288497076,0.0108,6037
289522009,0.0295,4058
289697736,0.0067,6911
290684548,0.0246,7149
290771552,0.0299,5511
291403900,0.0217,8588
291413604,0.0184,6120
292520387,0.0312,6704
292527975,0.0153,3471
292538622,0.0247,5507
292688329,0.0085,5730
292866544,0.0362,7490
292951387,0.0562,6150
294305539,0.0141,8592
294824466,0.0224,5085
294836406,0.0079,9619
296852679,0.0124,9853
298115220,0.0142,3208
298582459,0.0394,4984
299077409,0.0192,6011
299435049,0.0482,3568
299441550,0.0155,7849
299917495,0.0158,5241
300101781,0.0573,7894
300109676,0.0219,5021
301513816,0.0073,6679
301746861,0.011,13504
302073616,0,5664
302318759,0.0172,17415
302904118,0.0189,3324
302972897,0.0464,3943
304175377,0.0261,6084
304658947,0.0177,5457
304672348,0,4189
305562118,0.0053,5238
305942392,0.0079,14521
306394380,0.0088,10390
306418302,0.0154,12094
306544001,0.0181,4446
306766667,0.0038,5362
307267441,0.0176,4335
307461435,0.0247,4129
307474239,0.0116,6445
308101377,0.0334,3870
308296422,0.0161,4009
309054577,0.0192,5651
309320796,0.0058,7585
309617782,0.0153,1963
310722267,0.0252,2503
310734793,0,7227
311991358,0,1881
311995130,0.0193,982
312525406,0.0026,4230
312552300,0,5048
312558319,0.0048,3138
312561594,0,2650
312570020,0.0047,6381
312879469,0,3992
312963701,0.0032,6098
313240539,0,7336
313389325,0,879
313496876,0,7976
313530163,0.0022,4867
313553909,0,863
313901787,0.0034,2995
313905323,0.0014,7391
314303161,0,4797
314722530,0,6734
315232057,0,5799
315244622,0,4266
315254115,0,2530
