Start,dS,Length
291679,0.0727,1581
297004,0.0793,2287
302370,0.0338,9329
351956,0.0802,6968
669245,0.0759,6418
734654,0.0657,6556
1237234,0.0683,6582
1341713,0.0594,8418
1571710,0.0218,5581
2172857,0.0542,7768
2373711,0.0622,5380
2430282,0.0179,3909
2457925,0.0401,4949
2756173,0.1048,12206
2770621,0.0383,4832
3119260,0.0791,6138
3164617,0.0524,4443
3264716,0.062,14402
3291608,0.0475,9983
3323283,0.0485,16323
3511409,0.0059,4355
3543458,0.0577,2310
3552296,0.0311,8353
3809027,0.024,11173
3868561,0.0996,2207
3972802,0.0358,5409
4226484,0.0874,5168
4373952,0.0108,6552
4393178,0.0829,3865
4397289,0.1611,4287
4405999,0.0984,10027
4419461,0.0471,7042
4762101,0.0243,4527
4814326,0.0389,1630
4851373,0.0886,2384
4863947,0.0465,8504
4893718,0.0467,11990
4932165,0.0264,5630
5112571,0.0137,6328
5166848,0.0265,11398
5184833,0.016,3379
5188523,0.0434,8975
5205752,0.0872,7097
5218571,0.0744,3275
5222720,0.0483,19571
5364644,0.0394,6920
5381347,0,2333
5383724,0.0633,6633
5561474,0.0386,15064
5606463,0.0346,6741
5655529,0.0198,4530
5720502,0.0864,3555
5776789,0.0589,13961
5790875,0.042,8983
5837465,0.1379,3264
5854953,0.0348,3270
5915064,0.1219,1681
6053000,0.0196,7651
6350185,0.0807,5932
6379050,0.0409,9847
6390750,0.0152,4719
6504692,0.0028,5762
6511153,0.0253,5680
6594800,0.0221,14653
6625946,0.0161,4334
6631743,0.0188,4216
6640600,0.0119,9164
6655993,0.0057,7664
6783748,0.0231,10581
6805728,0.0179,4343
6891088,0.0421,9080
6908430,0.0108,4835
7284776,0.0072,19954
7359852,0.033,3421
7364036,0.0079,4655
7369491,0.0036,6625
7379247,0.0425,5590
7427353,0.0127,3734
7497140,0.013,8650
7505816,0.0099,4049
7510565,0.0259,5657
7561641,0.0217,1835
7564041,0.0265,929
7566419,0.03,2524
7587618,0.0105,11556
7657981,0.0146,5882
7666923,0.0218,3099
7717656,0.0248,3337
7750722,0.0132,3512
7783644,0.0063,8286
7828683,0.0037,8181
7865114,0.0112,3627
7902427,0.0019,3394
7910897,0.0025,5408
8173130,0.0111,4408
8177730,0.0223,610
8179128,0.0084,1668
8182292,0.0354,8308
8190709,0.0084,3680
8197574,0.0022,10372
8209370,0.0156,6343
8256171,0.0101,5052
8263839,0.0229,9314
8387230,0.0229,1758
8392669,0.0074,35199
8437842,0.0105,8485
8450835,0.0034,4744
8462228,0.0186,3971
8467166,0.0277,2810
8470065,0.0231,2670
9027383,0.0044,6766
9921487,0.011,7919
9929395,0,1921
9932286,0.004,3072
9935817,0.0052,3453
9961127,0,782
9962654,0.0294,1331
9964727,0.0097,11327
9976636,0.0162,8066
9985440,0.0097,7016
10041125,0.0075,2801
10059586,0.0284,1182
10069580,0,6550
10077888,0.0433,4850
10211138,0.0212,4975
10266554,0.0225,8096
10275851,0,4504
10484908,0.0815,2994
10490388,0.0538,3732
10621796,0.0129,6839
10669545,0.0267,21694
10715655,0.0344,9002
10859709,0.0638,3918
10882497,0.036,3818
11439579,0.0627,16421
11457012,0.0507,6489
11601104,0.0582,9240
11612381,0.0568,13077
11629282,0.0296,12944
11735652,0.0322,9603
11906302,0.0999,7911
12956934,0.0541,3840
13084655,0.0411,7191
13788539,0.0621,5910
13857149,0.0323,8626
13880063,0.0024,3470
13929819,0.0374,5553
14153371,0.0208,6523
14175246,0,6531
14182971,0.0256,3473
14259324,0.0367,3062
14830816,0.0256,9329
14856095,0.0255,10154
14901864,0.0064,1160
15074962,0.0647,5108
15147385,0.0374,7488
15155572,0.0204,3476
15159146,0.0205,1668
15161962,0.0563,3961
15198016,0.0123,5876
15830480,0.0153,7249
17325470,0.0714,2950
17928734,0.0533,5879
19028096,0.0865,17843
19922916,0.0635,4562
20765400,0.0363,6162
21951730,0.0451,2659
22872189,0.0285,6264
23633769,0.0216,12126
23647701,0.055,5939
26117393,0.013,8857
26139200,0.0274,48330
26795822,0.045,7456
27675217,0.0512,3884
29817636,0.0642,16255
35535432,0.0143,3230
36776284,0.0814,4411
37040248,0.0689,6363
37678876,0.0355,7483
38582009,0.0387,5886
40097629,0.0499,5037
40771304,0.0068,1999
40773678,0.0138,11271
43047098,0.0534,2318
43085051,0.0625,3908
43167304,0.04,1738
47442303,0.0297,13051
48498370,0.0074,13595
52511462,0.0377,4205
53441251,0.0194,6178
59019608,0.0293,3681
59483584,0.0495,5429
59867856,0.0167,5211
60612967,0.0329,1506
60797852,0.019,29055
62893642,0.0236,5466
64109700,0.0269,19497
64816491,0.0279,25952
65600012,0.0182,4201
65605937,0.0057,4082
65784348,0.036,6832
66518584,0.0365,12712
69605689,0.0449,9043
72134901,0.033,13768
78573393,0.053900000000000003,2197
82195883,0.0317,20189
84704139,0.0374,3869
91511928,0.0626,6210
92521628,0.0292,1820
92525214,0.0793,5544
93765402,0.0637,3763
95073118,0.0295,9840
96498368,0.0383,4474
98206110,0.0357,4861
101834792,0.0367,16004
105332498,0.0386,4536
106642397,0.0473,6489
107367434,0.0252,17853
107792441,0.0382,6437
111949127,0.0247,5174
114048883,0.0363,7198
114315658,0.0656,4756
116596780,0.0472,4978
120070702,0.0456,8027
120983698,0.0426,6913
123315748,0.0392,2470
126589304,0.0336,8927
126836117,0.0306,11793
131379921,0.0405,3071
133120890,0.0223,1592
133126659,0.0221,7366
134349892,0.0131,3412
135082711,0.026,5463
138277886,0.0588,2732
142746103,0.0544,13537
148250356,0.0202,7995
149121622,0.0376,973
150322789,0.0614,7705
151371647,0.052,9156
152118320,0.1182,2653
153025064,0.0346,8623
153568086,0.0483,6116
156650480,0.0269,11639
160767505,0.0922,8166
176123313,0.0415,25745
179377893,0.127,3998
185936887,0.0061,4201
185941089,0.0383,20065
187671100,0.0374,9745
197241309,0.0395,2857
197412330,0.0413,10401
198013799,0.0724,6273
216120322,0.0355,3978
217544649,0.0361,14085
221642678,0.0367,29430
223190579,0.0257,10051
225479068,0.0287,7075
226163360,0.0286,8317
230838098,0.0452,5966
231613156,0.0304,2083
237790804,0.0149,11180
237801985,0.0696,3173
239141547,0.0554,8572
239968288,0.0246,2830
241462998,0.025,5810
241611869,0,6156
241617535,0.0353,2409
244110837,0.0327,7702
245943532,0.05,11704
247109545,0.0245,9524
249364116,0.0344,3063
249938006,0.0859,2114
251751150,0.0553,11398
253624393,0.019,9100
254207529,0.0223,13549
256027879,0.0351,2090
256645397,0.0249,5218
257016404,0.0243,19910
258065218,0.0498,3672
258392739,0.0666,6904
259061600,0.0119,6318
261563266,0.0307,11575
263245007,0.0343,6152
264694658,0.0201,12237
265496738,0.0414,3095
265870600,0.024,11032
272060847,0.0076,24534
272495612,0.0245,2508
274197297,0.0358,11969
274279666,0.0314,5439
274785604,0.0656,2208
274953092,0.0804,6272
276672441,0.0109,4252
277549816,0.0216,20880
278306681,0.0545,13607
281928757,0.0456,7715
282129418,0.0306,11074
283410506,0.0262,10406
286113316,0.017,10279
286127839,0.0231,4140
286514749,0.0238,7274
287264594,0.0022,10344
287848674,0.0206,2219
288497076,0.0087,6037
289697736,0.0091,6911
290684548,0.037,7149
291403900,0.0316,8588
292520387,0.0273,6704
292527975,0.0076,3471
292538622,0.0259,5507
292688329,0.0076,5730
292866544,0.0392,7490
294305539,0.0135,8592
294824466,0.0223,5085
294836406,0.0079,9619
296852679,0.0149,9853
298115220,0.0121,3208
298582459,0.051,4984
299077409,0.0156,6011
299435049,0.048,3568
299441550,0.0057,7849
299917495,0.0199,5241
300101781,0.0521,7894
300109676,0.0128,5021
300879621,0.0139,6230
301746861,0.016,13504
301786835,0.03,6692
302073616,0.009,5664
302318759,0.0225,17415
302904118,0.0264,3324
302972897,0.0555,3943
304175377,0.018,6084
304658947,0.0193,5457
304672348,0,4189
305559236,0.0081,614
305562118,0.0155,5238
305588666,0.0079,9163
305942392,0.0097,14521
306394380,0.0247,10390
307474239,0.0091,6445
307868118,0.0231,2740
308101377,0.0278,3870
308296422,0.031,4009
308909960,0.0028,2441
309320796,0.0024,7585
309617782,0.0137,1963
310722267,0.0253,2503
310734793,0.0113,7227
312525406,0.026,4230
312558319,0.0154,3138
312561594,0.0336,2650
312578174,0.0029,5896
312871196,0,7656
313240539,0.0073,7336
313383782,0.0023,5542
313429682,0.0073,3014
313436220,0,4303
313461723,0.0272,4934
313530163,0.0021,4867
313546645,0.0128,7070
313553909,0.0096,863
313901787,0.0068,2995
313905323,0,7391
314303161,0,4797
314598087,0.0021,3893
314722530,0.0074,6734
315232057,0.0215,5799
315244622,0,4266
315249998,0.0272,3686
315368650,0.0031,3480
315372722,0,6342
315855370,0,4935
315945674,0.0038,4512
315951457,0.0022,12931
316059836,0,1742
316185313,0,5136
316482985,0.03,1236
316532772,0,3701
316543069,0.0062,3855
316547382,0.0014,5427
316789380,0,7096
316890489,0.0023,7867
316939876,0,6492
316947256,0.0029,7574
317133653,0.0041,3857
317227050,0,633
317624484,0.0026,2495
317699875,0,4108
319095100,0.0037,22033
319286824,0,10231
319659111,0,6683
319761434,0.001,10602
320209542,0,15609
320882191,0.006,1881
320914683,0,2585
320932694,0.0109,3673
320958685,0,3928
321135941,0,5888
321260574,0.0034,5037
321290724,0,1802
321664100,0,5152
321877549,0,5382
322084499,0.0176,3894
322091803,0,7335
322106898,0.0029,3376
322492708,0,3484
322507074,0,6424
322539932,0,4358
322679161,0.0022,5618
322973647,0.0019,2810
323038018,0,9425
323296416,0,9578
323306401,0.0117,1951
323383347,0,3611
323387010,0,820
323503735,0.0054,1169
323807473,0,849
324738319,0,15194
324874794,0,4421
324978041,0.005,4464
324982525,0.0036,3705
325215940,0,3489
325220456,0,3091
325486978,0.0425,1831
325606466,0,3179
325618960,0,3074
325680536,0.0022,2774
325860553,0,5703
326488188,0,1620
326722610,0,9714
326818933,0.0042,6414
327113790,0.0065,3895
327118159,0,5014
327124243,0,964
327140362,0,1788
327576008,0.0052,3324
327579413,0.0091,7398
327901791,0.0062,5976
327932258,0.0023,11257
327945693,0,5595
328072879,0.0015,4008
328192084,0.0073,1749
328222565,0.002,6713
328230993,0,7141
328238556,0,8882
328292560,0.0149,9123
328750488,0.0024,7376
328759648,0.0023,9843
328838436,0.0032,6949
328847650,0.0125,4721
328854630,0.0061,14559
328871890,0.0025,6794
328884993,0,7708
329089881,6e-4,13421
329390380,0,9595
329455789,0,6935
329494052,0,6455
329503178,0,3348
329507111,0.0072,4061
329511830,0.0051,5009
329532463,0,4368
329585185,0,16415
329651199,0.0053,4817
329667462,0.002,5055
