fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
g1000.t1	g1000.t1_Z	0		681	g1000.t1_W	0		681	681	0.0324
g1001.t1	g1001.t1_Z	0		1089	g1001.t1_W	0		1089	1089	0.0201
g1002.t1	g1002.t1_Z	0		660	g1002.t1_W	0		660	660	0.0071
g1016.t1	g1016.t1_Z	0		660	g1016.t1_W	0		660	660	0
g1017.t1	g1017.t1_Z	0		1230	g1017.t1_W	0		1230	1230	0.0361
g1018.t1	g1018.t1_Z	0		1869	g1018.t1_W	0		1869	1869	0.0126
g1019.t1	g1019.t1_Z	0		711	g1019.t1_W	0		711	711	0.0223
g1027.t1	g1027.t1_Z	0		1017	g1027.t1_W	0		1017	1017	0.0258
g1034.t1	g1034.t1_Z	0		522	g1034.t1_W	0		522	522	0.0169
g1040.t1	g1040.t1_Z	0		4683	g1040.t1_W	0		4683	4683	0.0117
g1041.t1	g1041.t1_Z	0		3180	g1041.t1_W	0		3180	3180	0.0061
g1042.t1	g1042.t1_Z	0		1593	g1042.t1_W	0		1593	1593	0.0050
g1045.t1	g1045.t1_Z	0		807	g1045.t1_W	0		807	807	0.0117
g1049.t1	g1049.t1_Z	0		5649	g1049.t1_W	0		5649	5649	0.0232
g1051.t1	g1051.t1_Z	0		2583	g1051.t1_W	0		2583	2583	0.0028
g1053.t1	g1053.t1_Z	0		867	g1053.t1_W	0		867	867	0
g1055.t1	g1055.t1_Z	0		615	g1055.t1_W	0		615	615	0.0142
g1056.t1	g1056.t1_Z	0		480	g1056.t1_W	1	,76	480	480	0.0207
g1057.t1	g1057.t1_Z	0		687	g1057.t1_W	0		687	687	0.0058
g1059.t1	g1059.t1_Z	0		372	g1059.t1_W	0		372	372	0.0330
g1063.t2	g1063.t2_Z	0		810	g1063.t2_W	0		810	810	0
g1066.t1	g1066.t1_Z	0		1305	g1066.t1_W	0		1305	1305	0
g1072.t1	g1072.t1_Z	0		1020	g1072.t1_W	0		1020	1020	0.0157
g1074.t1	g1074.t1_Z	0		510	g1074.t1_W	0		510	510	0.0576
g1075.t1	g1075.t1_Z	0		1152	g1075.t1_W	0		1152	1152	0.0122
g1076.t1	g1076.t1_Z	0		1839	g1076.t1_W	0		1839	1839	0.0101
g1078.t2	g1078.t2_Z	0		1257	g1078.t2_W	0		1257	1257	0.0028
g1079.t1	g1079.t1_Z	0		3843	g1079.t1_W	0		3843	3843	0.0026
g1083.t1	g1083.t1_Z	0		1854	g1083.t1_W	0		1854	1854	0.0092
g1084.t1	g1084.t1_Z	0		2418	g1084.t1_W	0		2418	2418	0.0050
g1085.t2	g1085.t2_Z	0		1242	g1085.t2_W	0		1242	1242	0.0045
g1088.t1	g1088.t1_Z	0		2409	g1088.t1_W	0		2409	2409	0.0035
g1089.t1	g1089.t1_Z	0		867	g1089.t1_W	0		867	867	0.0089
g1092.t1	g1092.t1_Z	0		978	g1092.t1_W	0		978	978	0.0128
g1094.t1	g1094.t1_Z	0		525	g1094.t1_W	0		525	525	0.0078
g1104.t1	g1104.t1_Z	0		2127	g1104.t1_W	0		2127	2127	0
g1105.t1	g1105.t1_Z	0		1947	g1105.t1_W	0		1947	1947	0.0067
g1108.t2	g1108.t2_Z	0		2562	g1108.t2_W	0		2562	2562	0.0046
g1109.t1	g1109.t1_Z	0		1485	g1109.t1_W	0		1485	1485	0.0343
g1123.t1	g1123.t1_Z	0		957	g1123.t1_W	0		957	957	0.0120
g1134.t1	g1134.t1_Z	0		573	g1134.t1_W	0		573	573	0.0466
g1147.t1	g1147.t1_Z	0		2199	g1147.t1_W	0		2199	2199	0
g1149.t1	g1149.t1_Z	0		381	g1149.t1_W	0		381	381	0
g1161.t1	g1161.t1_Z	0		819	g1161.t1_W	0		819	819	0.0091
g1168.t1	g1168.t1_Z	0		366	g1168.t1_W	0		366	366	0
g1176.t1	g1176.t1_Z	0		585	g1176.t1_W	0		585	585	0.0070
g1178.t1	g1178.t1_Z	0		960	g1178.t1_W	0		960	960	0.0082
g1180.t1	g1180.t1_Z	0		903	g1180.t1_W	0		903	903	0
g1181.t1	g1181.t1_Z	0		1158	g1181.t1_W	0		1158	1158	0.0037
g1182.t1	g1182.t1_Z	0		705	g1182.t1_W	0		705	705	0.0062
g1187.t1	g1187.t1_Z	0		765	g1187.t1_W	0		765	765	0.0051
g1188.t1	g1188.t1_Z	0		2343	g1188.t1_W	0		2343	2343	0.0034
g1190.t1	g1190.t1_Z	0		564	g1190.t1_W	0		564	564	0.0277
g1195.t1	g1195.t1_Z	0		1434	g1195.t1_W	0		1434	1434	0.0055
g1201.t1	g1201.t1_Z	0		549	g1201.t1_W	0		549	549	0.0407
g1202.t1	g1202.t1_Z	0		2235	g1202.t1_W	0		2235	2235	0.0054
g1205.t1	g1205.t1_Z	0		612	g1205.t1_W	0		612	612	0
g1208.t1	g1208.t1_Z	0		579	g1208.t1_W	0		579	579	0
g1216.t2	g1216.t2_Z	0		768	g1216.t2_W	0		768	768	0.0226
g1218.t1	g1218.t1_Z	0		810	g1218.t1_W	0		810	810	0.0103
g1219.t1	g1219.t1_Z	0		1017	g1219.t1_W	0		1017	1017	0.0084
g1223.t1	g1223.t1_Z	0		315	g1223.t1_W	0		315	315	0
g1226.t1	g1226.t1_Z	0		618	g1226.t1_W	0		618	618	0.0191
g1227.t1	g1227.t1_Z	0		465	g1227.t1_W	0		465	465	0.0094
g1229.t2	g1229.t2_Z	0		606	g1229.t2_W	0		606	606	0.0060
g1230.t1	g1230.t1_Z	0		432	g1230.t1_W	0		432	432	0.0088
g1242.t1	g1242.t1_Z	0		2541	g1242.t1_W	0		2541	2541	0.0257
g1243.t1	g1243.t1_Z	0		861	g1243.t1_W	0		861	861	0.0046
g1245.t1	g1245.t1_Z	0		408	g1245.t1_W	0		408	408	0.0095
g1250.t1	g1250.t1_Z	0		510	g1250.t1_W	0		510	510	0.0084
g1260.t1	g1260.t1_Z	0		423	g1260.t1_W	0		423	423	0.0096
g1263.t1	g1263.t1_Z	0		1074	g1263.t1_W	0		1074	1074	0.0144
g1265.t1	g1265.t1_Z	0		1047	g1265.t1_W	0		1047	1047	0.0133
g1266.t1	g1266.t1_Z	0		420	g1266.t1_W	0		420	420	0
g1267.t1	g1267.t1_Z	0		408	g1267.t1_W	0		408	408	0
g1270.t2	g1270.t2_Z	0		792	g1270.t2_W	0		792	792	0.0108
g1271.t1	g1271.t1_Z	0		597	g1271.t1_W	0		597	597	0
g1272.t1	g1272.t1_Z	0		1473	g1272.t1_W	0		1473	1473	0.0071
g1274.t1	g1274.t1_Z	0		633	g1274.t1_W	0		633	633	0.0130
g1277.t1	g1277.t1_Z	0		1461	g1277.t1_W	0		1461	1461	0.0032
g1278.t1	g1278.t1_Z	0		1140	g1278.t1_W	1	,1126	1140	1140	0.0249
g1279.t1	g1279.t1_Z	0		753	g1279.t1_W	0		753	753	0.0234
g1282.t1	g1282.t1_Z	0		450	g1282.t1_W	0		450	450	0
g1283.t1	g1283.t1_Z	0		822	g1283.t1_W	0		822	822	0
g1290.t1	g1290.t1_Z	0		1362	g1290.t1_W	0		1362	1362	0.0103
g1291.t1	g1291.t1_Z	0		357	g1291.t1_W	0		357	357	0
g1299.t1	g1299.t1_Z	0		753	g1299.t1_W	0		753	753	0
g1301.t1	g1301.t1_Z	0		1047	g1301.t1_W	0		1047	1047	0.0202
g1308.t1	g1308.t1_Z	0		1404	g1308.t1_W	0		1404	1404	0.0130
g13098.t1	g13098.t1_Z	0		1392	g13098.t1_W	0		1392	1392	0
g1309.t1	g1309.t1_Z	0		492	g1309.t1_W	0		492	492	0
g1310.t1	g1310.t1_Z	0		1347	g1310.t1_W	0		1347	1347	0.0142
g1311.t1	g1311.t1_Z	0		1368	g1311.t1_W	0		1368	1368	0.0164
g1312.t1	g1312.t1_Z	0		1095	g1312.t1_W	0		1095	1095	0.0185
g1313.t1	g1313.t1_Z	0		2106	g1313.t1_W	0		2106	2106	0.0173
g1318.t1	g1318.t1_Z	0		381	g1318.t1_W	0		381	381	0.0160
g1320.t1	g1320.t1_Z	0		2673	g1320.t1_W	0		2673	2673	0.0255
g1325.t1	g1325.t1_Z	0		1062	g1325.t1_W	0		1062	1062	0
g1326.t1	g1326.t1_Z	0		1887	g1326.t1_W	0		1887	1887	0
g1332.t1	g1332.t1_Z	0		684	g1332.t1_W	0		684	684	0.0261
g1333.t1	g1333.t1_Z	0		447	g1333.t1_W	0		447	447	0.0094
g1335.t1	g1335.t1_Z	0		1563	g1335.t1_W	0		1563	1563	0.0113
g1347.t1	g1347.t1_Z	0		2013	g1347.t1_W	0		2013	2013	0.0355
g1350.t1	g1350.t1_Z	0		2826	g1350.t1_W	0		2826	2826	0.0172
g1351.t1	g1351.t1_Z	0		402	g1351.t1_W	0		402	402	0.0170
g1353.t1	g1353.t1_Z	0		486	g1353.t1_W	0		486	486	0.0261
g1354.t1	g1354.t1_Z	0		1008	g1354.t1_W	0		1008	1008	0.0202
g1357.t1	g1357.t1_Z	0		1500	g1357.t1_W	0		1500	1500	0.0162
g1358.t1	g1358.t1_Z	0		1533	g1358.t1_W	0		1533	1533	0.0150
g1360.t1	g1360.t1_Z	0		1578	g1360.t1_W	0		1578	1578	0.0190
g1364.t2	g1364.t2_Z	0		2496	g1364.t2_W	0		2496	2496	0.0115
g1366.t1	g1366.t1_Z	0		1188	g1366.t1_W	0		1188	1188	0
g1369.t2	g1369.t2_Z	0		1341	g1369.t2_W	0		1341	1341	0.0379
g1370.t1	g1370.t1_Z	0		507	g1370.t1_W	0		507	507	0.0396
g1373.t1	g1373.t1_Z	0		1569	g1373.t1_W	0		1569	1569	0.0086
g1374.t1	g1374.t1_Z	0		348	g1374.t1_W	0		348	348	0.0343
g1383.t1	g1383.t1_Z	0		1131	g1383.t1_W	0		1131	1131	0.0671
g1385.t1	g1385.t1_Z	0		1590	g1385.t1_W	0		1590	1590	0.0380
