fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
chr1_000140.1	_chr1_000140.1_X	0		600	_chr1_000140.1_Y	0		600	600	0
chr1_000141.1	_chr1_000141.1_X	0		2100	_chr1_000141.1_Y	0		2100	2100	0.0040
chr1_000142.1	_chr1_000142.1_X	0		2052	_chr1_000142.1_Y	0		2052	2052	0.0058
chr1_000146.1	_chr1_000146.1_X	0		828	_chr1_000146.1_Y	0		828	828	0
chr1_000147.1	_chr1_000147.1_X	0		876	_chr1_000147.1_Y	0		876	876	0.0372
chr1_000149.1	_chr1_000149.1_X	0		1470	_chr1_000149.1_Y	0		1470	1470	0.0274
chr1_000150.1	_chr1_000150.1_X	0		2118	_chr1_000150.1_Y	0		2118	2118	0
chr1_000151.1	_chr1_000151.1_X	0		2727	_chr1_000151.1_Y	0		2727	2727	0
chr1_000153.1	_chr1_000153.1_X	0		1341	_chr1_000153.1_Y	0		1341	1341	0
chr1_000158.1	_chr1_000158.1_X	0		555	_chr1_000158.1_Y	0		555	555	0.0077
chr1_000161.1	_chr1_000161.1_X	0		1704	_chr1_000161.1_Y	0		1704	1704	0.0023
chr1_000164.1	_chr1_000164.1_X	0		2370	_chr1_000164.1_Y	0		2370	2370	0
chr1_000165.1	_chr1_000165.1_X	0		669	_chr1_000165.1_Y	0		669	669	0.0124
chr1_000168.1	_chr1_000168.1_X	0		3093	_chr1_000168.1_Y	0		3093	3093	0.0119
chr1_000169.1	_chr1_000169.1_X	0		1791	_chr1_000169.1_Y	0		1791	1791	0.0021
chr1_000172.1	_chr1_000172.1_X	0		2196	_chr1_000172.1_Y	0		2196	2196	0
chr1_000174.1	_chr1_000174.1_X	0		2484	_chr1_000174.1_Y	0		2484	2484	0.0032
chr10_001748.1	_chr10_001748.1_X	1	,574	1371	_chr10_001748.1_Y	0		1371	1371	0.0772
chr1_000175.1	_chr1_000175.1_X	0		867	_chr1_000175.1_Y	0		867	867	0.0475
chr1_000176.1	_chr1_000176.1_X	0		1068	_chr1_000176.1_Y	0		1068	1068	0
chr1_000179.1	_chr1_000179.1_X	0		492	_chr1_000179.1_Y	0		492	492	0.0409
chr1_000203.1	_chr1_000203.1_X	0		1464	_chr1_000203.1_Y	0		1464	1464	0.0223
chr1_000204.1	_chr1_000204.1_X	0		1767	_chr1_000204.1_Y	0		1767	1767	0
chr1_000205.1	_chr1_000205.1_X	0		2091	_chr1_000205.1_Y	0		2091	2091	0.0059
chr1_000210.1	_chr1_000210.1_X	0		1152	_chr1_000210.1_Y	0		1152	1152	0.0033
chr1_000211.1	_chr1_000211.1_X	0		1182	_chr1_000211.1_Y	0		1182	1182	0
chr1_000212.1	_chr1_000212.1_X	0		1173	_chr1_000212.1_Y	0		1173	1173	0.0068
chr1_000217.1	_chr1_000217.1_X	0		564	_chr1_000217.1_Y	0		564	564	0.0130
chr1_000221.1	_chr1_000221.1_X	0		1095	_chr1_000221.1_Y	0		1095	1095	0
chr1_000222.1	_chr1_000222.1_X	0		1914	_chr1_000222.1_Y	0		1914	1914	0.0018
chr10_002425.1	_chr10_002425.1_X	0		2157	_chr10_002425.1_Y	0		2157	2157	0.0057
chr10_002775.1	_chr10_002775.1_X	0		2019	_chr10_002775.1_Y	0		2019	2019	0.0152
chr10_002779.1	_chr10_002779.1_X	0		2073	_chr10_002779.1_Y	0		2073	2073	0
chr10_003877.1	_chr10_003877.1_X	0		945	_chr10_003877.1_Y	0		945	945	0.0126
chr10_004287.1	_chr10_004287.1_X	0		1068	_chr10_004287.1_Y	0		1068	1068	0.0021
chr1_001479.1	_chr1_001479.1_X	0		816	_chr1_001479.1_Y	0		816	816	0.0111
chr1_002130.1	_chr1_002130.1_X	0		705	_chr1_002130.1_Y	0		705	705	0
chr1_003885.1	_chr1_003885.1_X	0		1212	_chr1_003885.1_Y	0		1212	1212	0.0580
chr1_004013.1	_chr1_004013.1_X	0		1818	_chr1_004013.1_Y	0		1818	1818	0.0228
chr1_004366.1	_chr1_004366.1_X	0		1422	_chr1_004366.1_Y	0		1422	1422	0.0079
chr1_004367.1	_chr1_004367.1_X	0		768	_chr1_004367.1_Y	0		768	768	0
