V1,V2
chr1_000140.1,0.0967741935483871
chr1_000141.1,0
chr1_000142.1,0.0632911392405063
chr1_000146.1,0.125
chr1_000147.1,0.0833333333333333
chr1_000149.1,0
chr1_000150.1,0
chr1_000151.1,0.0224719101123595
chr1_000153.1,0.0348837209302326
chr1_000158.1,0.571428571428571
chr1_000161.1,0.0512820512820513
chr1_000164.1,0
chr1_000165.1,0.122448979591837
chr1_000168.1,0.0344827586206897
chr1_000169.1,0.0377358490566038
chr1_000172.1,0.116666666666667
chr1_000174.1,0.106666666666667
chr10_001748.1,0
chr1_000175.1,0.107692307692308
chr1_000176.1,0
chr1_000179.1,0.0869565217391304
chr1_000203.1,0.0804597701149425
chr1_000204.1,0.226415094339623
chr1_000205.1,0.217391304347826
chr1_000210.1,0
chr1_000211.1,0
chr1_000212.1,0
chr1_000217.1,0
chr1_000221.1,0.117647058823529
chr1_000222.1,0
chr10_002425.1,0
chr10_002775.1,0
chr10_002779.1,0
chr10_003877.1,0
chr10_004287.1,0
chr1_001479.1,0
chr1_002130.1,0
chr1_003885.1,0.0895522388059701
chr1_004013.1,0
chr1_004366.1,0
chr1_004367.1,0
chr1_004370.1,0.0434782608695652
chr1_004372.1,0.0851063829787234
chr1_004374.1,0.172413793103448
chr1_004375.1,0.146341463414634
chr1_004378.1,0.222222222222222
chr1_004379.1,0.226666666666667
chr1_004380.1,0
chr1_004384.1,0
chr1_004388.1,0.0277777777777778
chr1_004391.1,0
chr1_004392.1,0
chr1_004395.1,0
chr1_004396.1,0
chr1_004398.1,0
chr1_004399.1,0.0188679245283019
chr1_004403.1,0
chr1_004407.1,0.0217391304347826
chr1_004408.1,0
chr1_004413.1,0
chr1_004414.1,0.0263157894736842
chr1_004415.1,0.0666666666666667
chr11_000139.1,0
chr11_000219.1,0.0540540540540541
chr11_000223.1,0.0175438596491228
chr11_002466.1,0
chr11_002617.1,0.0379746835443038
chr12_000004.1,0.0165289256198347
chr12_000005.1,0.133333333333333
chr12_000011.1,0
chr12_000016.1,0
chr12_000018.1,0
chr12_000019.1,0
chr12_000034.1,0.0151515151515152
chr12_000037.1,0
chr12_000039.1,0.036036036036036
chr12_000042.1,0.0555555555555556
chr12_000052.1,0
chr12_000055.1,0.133333333333333
chr12_000070.1,0.0192307692307692
chr12_000072.1,0.0169491525423729
chr12_000077.1,0
chr12_000084.1,0
