Start,dS,Length
74586,0.009,3847
291679,0.0947,1581
351956,0.081,6968
669245,0.0774,6418
704012,0.0614,9150
734654,0.0775,6556
1237234,0.0898,6582
1341713,0.0547,8418
1571710,0.0284,5581
2373711,0.0325,5380
2430282,0.019,3909
2457925,0.038,4949
2724249,0.0686,5896
2756173,0.1369,12206
2770621,0.0388,4832
2945541,0.0624,3916
3119260,0.0794,6138
3172857,0,11484
3264716,0.0836,14402
3291608,0.0499,9983
3323283,0.0404,16323
3543458,0.0457,2310
3552296,0.0292,8353
3868561,0.0675,2207
3972802,0.0542,5409
4005120,0.0176,5553
4226484,0.0735,5168
4373952,0.0314,6552
4405999,0.0988,10027
4762101,0.0172,4527
4804797,0.0352,7587
4814326,0.0825,1630
4851373,0.0795,2384
4863947,0.034,8504
4893718,0.085,11990
4906633,0.035,12143
4932165,0.0247,5630
5112571,0.0194,6328
5166848,0.0479,11398
5179161,0.0479,5409
5184833,0.0125,3379
5188523,0.0519,8975
5205752,0.0943,7097
5222720,0.0468,19571
5364644,0.0497,6920
5383724,0.0651,6633
5561474,0.0451,15064
5606463,0.0315,6741
5776789,0.0403,13961
5790875,0.0411,8983
5826458,0.03,2363
5837465,0.1169,3264
5915064,0.1163,1681
6053000,0.0254,7651
6350185,0.0674,5932
6379050,0.0476,9847
6390750,0.0481,4719
6487462,0.0134,3144
6490715,0.0478,974
6504692,0.0176,5762
6511153,0.0211,5680
6594800,0.0188,14653
6617692,0.0031,6680
6631743,0.0116,4216
6640600,0.0067,9164
6655993,0.0107,7664
6783748,0.0278,10581
6797838,0.0187,6808
6805728,0.0167,4343
6891088,0.0433,9080
6908430,0.0181,4835
7284776,0.0105,19954
7359852,0.0281,3421
7379247,0.0574,5590
7427353,0.0248,3734
7459148,0.05,968
7497140,0.0215,8650
7505816,0.0098,4049
7510565,0.0166,5657
7587618,0.0126,11556
7657981,0.0338,5882
7740720,0.0093,7565
7750722,0.0149,3512
7783644,0.0179,8286
7805450,0.0114,9264
7828683,0.0261,8181
7902427,0.0161,3394
7910897,0.0178,5408
7921073,0.0326,3934
7925657,0.0093,2346
8173130,0.0175,4408
8179128,0,1668
8182292,0.0211,8308
8209370,0.023,6343
8256171,0.0279,5052
8263839,0.0072,9314
8437842,0.0176,8485
8462228,0,3971
8467166,0.0265,2810
8470065,0.02,2670
9027383,0.0054,6766
9109092,0,3778
9935817,0,3453
9962654,0.0403,1331
9964727,0.0151,11327
9976636,0.0175,8066
10041125,0.0068,2801
10069580,0.0126,6550
10077888,0.0388,4850
10211138,0.0348,4975
10266554,0.0222,8096
10275851,0.0097,4504
10468768,0.0642,7040
10559326,0.0203,3861
10621796,0.0265,6839
10669545,0.025,21694
10715655,0.0611,9002
10859709,0.0442,3918
10882497,0.0248,3818
10893749,0.0288,5204
11146029,0.0401,6782
11439579,0.0632,16421
11457012,0.0605,6489
11479377,0.0161,5385
11601104,0.0552,9240
11612381,0.0564,13077
11629282,0.0621,12944
11735652,0.0654,9603
11906302,0.103,7911
12956934,0.0616,3840
13084655,0.0278,7191
13788539,0.0703,5910
13857149,0.0339,8626
13929819,0.0457,5553
14136015,0.0089,7505
14145656,0.0361,3382
14175246,0.0085,6531
14182971,0.0567,3473
14205579,0.1645,856
14259324,0.036,3062
14276855,0.0732,1110
14517004,0.0072,2559
14830816,0.0469,9329
14856095,0.0463,10154
14901864,0.0301,1160
15074962,0.0688,5108
15147385,0.0278,7488
15155572,0.0129,3476
15159146,0.037,1668
15161962,0.0902,3961
15189710,0.0341,7489
15198016,0.0121,5876
15830480,0.0392,7249
17325470,0.0635,2950
17928734,0.0685,5879
19028096,0.0894,17843
19922916,0.0577,4562
20765400,0.0426,6162
22878250,0.1693,5475
23621436,0.0074,7087
23633769,0.0884,12126
23647701,0.066,5939
24083085,0.0838,11945
24377344,0.0432,3060
26139200,0.0367,48330
27675217,0.0571,3884
29817636,0.0649,16255
34204116,0.0139,2017
36776284,0.1093,4411
37040248,0.0751,6363
38582009,0.0262,5886
40097629,0.0507,5037
43085051,0.066,3908
43167304,0.0668,1738
44217014,0.0102,3094
47442303,0.0484,13051
48369742,0.0284,2629
48498370,0.0126,13595
52511462,0.0366,4205
53441251,0.0173,6178
53452629,0.0278,4115
56243927,0.0068,7270
59019608,0.0528,3681
59483584,0.0576,5429
59867856,0.0189,5211
60612967,0.031,1506
60614474,0.0235,2140
60797852,0.0268,29055
62893642,0.0364,5466
64102587,0,6297
64109700,0.0238,19497
64816491,0.0206,25952
65600012,0.026,4201
65605937,0.0121,4082
65784348,0.0489,6832
66518584,0.0378,12712
69605689,0.0467,9043
72134901,0.0408,13768
78573393,0.0527,2197
82195883,0.0397,20189
83305591,0.0317,5160
84704139,0.0295,3869
91511928,0.0637,6210
92521628,0.025,1820
92525214,0.0638,5544
95073118,0.0299,9840
96498368,0.0341,4474
98206110,0.0586,4861
101834792,0.0448,16004
105332498,0.0386,4536
106642397,0.0458,6489
107367434,0.0278,17853
111949127,0.0345,5174
114048883,0.0501,7198
114315658,0.0627,4756
116596780,0.053,4978
120070702,0.0482,8027
120983698,0.0453,6913
126589304,0.047,8927
128685495,0.0612,1591
128918970,0,4089
130454369,0.0397,13428
133120890,0.0245,1592
133126659,0.0244,7366
134349892,0.0198,3412
135082711,0.0207,5463
138277886,0.0749,2732
148250356,0.0364,7995
148295672,0.046,5646
151371647,0.0518,9156
152118320,0.1106,2653
153025064,0.0536,8623
153568086,0.057,6116
156650480,0.0206,11639
160514791,0.0188,4075
160767505,0.1112,8166
176123313,0.0416,25745
179375024,0.0308,2190
179377893,0.1484,3998
185936887,0.0183,4201
185941089,0.0448,20065
187671100,0.0377,9745
188042717,0.0489,7326
197241309,0.0316,2857
197412330,0.0418,10401
198013799,0.0646,6273
207441954,0.0203,4313
216120322,0.0364,3978
216565444,0.0138,6660
216598148,0.0941,2958
217544649,0.0342,14085
221642678,0.0385,29430
223190579,0.0258,10051
225479068,0.0272,7075
226163360,0.066,8317
230838098,0.0478,5966
231613156,0.0506,2083
237790804,0.0098,11180
237801985,0.0593,3173
239141547,0.0711,8572
242801834,0.0266,3437
244110837,0.0261,7702
245943532,0.0594,11704
247109545,0.0319,9524
249364116,0.0419,3063
251751150,0.061,11398
253624393,0.0469,9100
254207529,0.0212,13549
256027879,0.0765,2090
258065218,0.0519,3672
258392739,0.0654,6904
259061600,0.0185,6318
261563266,0.0322,11575
263245007,0.0529,6152
264694658,0.0221,12237
265463579,0.0968,2512
265496738,0.0298,3095
265870600,0.028,11032
272060847,0.0254,24534
272495612,0.0565,2508
272770761,0.0073,27638
274197297,0.0432,11969
274279666,0.0362,5439
274785604,0.0747,2208
274953092,0.0821,6272
276672441,0.0101,4252
277549816,0.0301,20880
278306681,0.0724,13607
281928757,0.0578,7715
282129418,0.0572,11074
282473543,0.0047,3531
282905889,0,5320
282945906,0.0142,5425
283410506,0.0033,10406
286514749,0.0273,7274
287166727,0.0172,3694
287264594,0.0043,10344
287839504,0.0129,6536
288497076,0.0232,6037
289697736,0.0148,6911
290684548,0.0407,7149
290771552,0.0348,5511
291403900,0.0347,8588
292520387,0.0355,6704
292527975,0.0075,3471
292688329,0.0107,5730
292866544,0.0462,7490
294305539,0.0195,8592
294824466,0.029,5085
294836406,0.0158,9619
296852679,0.0151,9853
297233582,0.0607,2383
298113085,0.0163,1731
298582459,0.037,4984
299077409,0.0154,6011
299435049,0.0533,3568
299441550,0.0204,7849
300101781,0.053,7894
300109676,0.0243,5021
301513816,0.0111,6679
301746861,0.0236,13504
301786835,0.0103,6692
301891575,0.011,4949
302073616,0,5664
302125951,0.0439,882
302318759,0.0228,17415
302972897,0.0478,3943
304658947,0.0564,5457
304672348,0.0057,4189
305562118,0.0447,5238
305588666,0.0209,9163
305942392,0.0061,14521
306394380,0.0133,10390
306418302,0.0107,12094
306766667,0.0367,5362
307267441,0.0213,4335
307461435,0.0348,4129
307474239,0.0205,6445
307868118,0.0693,2740
308101377,0.0248,3870
309617782,0.0113,1963
310734793,0.0033,7227
311991358,0,1881
311995130,0.0257,982
312525406,0.0468,4230
312552300,0.0096,5048
312558319,0.0054,3138
312561594,0.0679,2650
312570020,0.0142,6381
312578174,0.0029,5896
312871196,0.0052,7656
312879469,0.0109,3992
312963701,0.0075,6098
313383782,0.0071,5542
313496876,0,7976
313530163,0.0043,4867
313553909,0.0098,863
314182289,0,4657
314303161,0.0083,4797
314338651,0.0018,12056
314722530,0.003,6734
315232057,0.0295,5799
315244622,0.0309,4266
315249998,0.0166,3686
315254115,0,2530
315260287,0,4747
315564071,0,4077
315593397,0.0116,1470
315855370,0,4935
315945674,0,4512
316059836,0.0192,1742
316482985,0.0058,1236
316528336,0,1122
316532772,0,3701
316543069,0.0155,3855
316547382,0,5427
316758115,0.0019,5905
317343137,0.0043,4955
317348526,0,471
317624484,0.0025,2495
317629255,0.0104,4275
318896614,0.0024,7633
319286824,0,10231
319733832,0.001,15840
319761434,0.003,10602
320053352,0.0028,4229
320058297,0,3640
320958685,0,3928
321067387,0.0015,11910
321091462,0,2964
321883363,0,2793
321978718,0.0033,7575
322084499,0,3894
322106898,0,3376
322459959,0.0065,5078
322575261,0,15344
322679161,0.0375,5618
323337092,0,5903
323387010,0.0062,820
323807473,0.0059,849
324250458,0.0018,10812
324867616,0,4490
324874794,0,4421
324978041,0,4464
324982525,0,3705
325215940,0.0073,3489
325220456,0.0071,3091
325265269,0.0099,2973
325413108,0.0061,1082
325606466,0.0091,3179
325611955,0.0068,4980
325680536,0.0125,2774
325860553,0.0019,5703
325866559,0.0047,2769
326658839,0,8313
327513987,0,1434
327566578,0,6337
327576008,0.0044,3324
327579413,0.01,7398
327700093,0.0121,1806
327901791,0.0016,5976
327926873,0,5547
327932258,0.0036,11257
327945693,0.0025,5595
328072879,0.0014,4008
328192084,0,1749
328292560,8e-4,9123
328460105,0.0052,4858
328524357,0.0061,5606
328541842,0,6400
328759648,0,9843
328838436,0,6949
328847650,0.0021,4721
328854630,0.002,14559
328871890,0.0012,6794
328884993,0.0029,7708
329089881,5e-4,13421
329361716,0,3089
329390380,0.0032,9595
329477134,0,8285
329487959,0,6101
329503178,0,3348
329507111,0,4061
329511830,0.0029,5009
329532463,0,4368
329581533,0,1316
329585185,0.0021,16415
329651199,0.0018,4817
329656566,0.0032,5240
330326608,0.0012,5916
338397813,0,8292
341691544,0.0025,17844
