V1,V2
chr10_002085.1,0
chr1_002214.1,0.0714285714285714
chr1_002912.1,0
chr1_004013.1,0
chr1_004044.1,0
chr1_004375.1,0
chr11_000219.1,0
chr11_002465.1,0
chr11_002617.1,0.0144927536231884
chr11_003307.1,0
chr12_000004.1,0.0116279069767442
chr12_000005.1,0
chr12_000006.1,0
chr12_000008.1,0.0208333333333333
chr12_000011.1,0.0136986301369863
chr12_000016.1,0
chr12_000017.1,0
chr12_000018.1,0
chr12_000019.1,0
chr12_000022.1,0.0136986301369863
chr12_000025.1,0
chr12_000028.1,0
chr12_000029.1,0
chr12_000033.1,0
chr12_000034.1,0
chr12_000039.1,0
chr12_000055.1,0
chr12_000056.1,0
chr12_000057.1,0
chr12_000058.1,0
chr12_000065.1,0
chr12_000069.1,0
chr12_000070.1,0.116666666666667
chr12_000072.1,0
chr12_000078.1,0
chr12_000084.1,0
chr12_000085.1,0
chr12_000093.1,0
chr12_000095.1,0
chr12_000100.1,0
chr12_000102.1,0
chr12_000105.1,0
chr12_000106.1,0
chr12_000107.1,0
chr12_000109.1,0
chr12_000116.1,0
chr12_000124.1,0
chr12_000125.1,0
chr12_000128.1,0
chr12_000131.1,0
chr12_000135.1,0
chr12_000136.1,0
chr12_000137.1,0
chr12_000143.1,0
chr12_000145.1,0.04
chr12_000146.1,0
chr12_000156.1,0
chr12_000160.1,0.00689655172413793
chr12_000164.1,0
chr12_000165.1,0
chr12_000167.1,0
chr12_000168.1,0
chr12_000169.1,0
chr12_000170.1,0
chr12_000171.1,0
chr12_000177.1,0
chr12_000178.1,0
chr12_000179.1,0
chr12_000181.1,0
chr12_000183.1,0
chr12_000186.1,0
chr12_000187.1,0
chr12_000188.1,0
chr12_000190.1,0.0303030303030303
chr12_000191.1,0
chr12_000192.1,0
chr12_000194.1,0
chr12_000199.1,0
chr12_000200.1,0
chr12_000205.1,0.00961538461538462
chr12_000206.1,0.0114942528735632
chr12_000210.1,0
chr12_000215.1,0
chr12_000216.1,0
chr12_000227.1,0
chr12_000228.1,0.0126582278481013
chr12_000229.1,0.0217391304347826
chr12_000232.1,0
chr12_000236.1,0.0236220472440945
chr12_000239.1,0.00980392156862745
chr12_000240.1,0
chr12_000244.1,0.0204081632653061
chr12_000247.1,0.0117647058823529
chr12_000249.1,0
chr12_000250.1,0.0149253731343284
chr12_000251.1,0
chr12_000253.1,0.0212765957446809
chr12_000255.1,0.0909090909090909
chr12_000259.1,0.0357142857142857
chr12_000269.1,0.0612244897959184
chr12_000271.1,0.0344827586206897
chr12_000272.1,0
chr12_000275.1,0.0227272727272727
chr12_000276.1,0
chr12_000277.1,0.027027027027027
chr12_000280.1,0.0350877192982456
chr12_000282.1,0
chr12_000285.1,0
chr12_000289.1,0
chr12_000299.1,0
chr12_000301.1,0
chr12_000302.1,0
chr12_000303.1,0
chr12_000304.1,0
chr12_000306.1,0
chr12_000316.1,0
chr12_000321.1,0
chr12_000333.1,0
chr12_000334.1,0.0120481927710843
chr12_000339.1,0
chr12_000340.1,0
chr12_000342.1,0
chr12_000343.1,0
chr12_000347.1,0.130434782608696
chr12_000353.1,0
chr12_000354.1,0
chr12_000361.1,0
chr12_000380.1,0
chr12_000385.1,0
chr12_000386.1,0
chr12_000392.1,0
chr12_000399.1,0.0504201680672269
chr12_000406.1,0
chr12_000426.1,0
chr12_000431.1,0
chr12_000438.1,0
chr12_000439.1,0
chr12_000451.1,0
chr12_000454.1,0
chr12_000469.1,0
chr12_000471.1,0
chr12_000476.1,0
chr12_000480.1,0
chr12_000481.1,0
chr12_000482.1,0.03125
chr12_000483.1,0
chr12_000494.1,0
chr12_000505.1,0
chr12_000524.1,0.0833333333333333
chr12_000528.1,0
chr12_000536.1,0
chr12_000547.1,0
chr12_000558.1,0
chr12_000559.1,0
chr12_000562.1,0
chr12_000570.1,0
chr12_000577.1,0
chr12_000580.1,0
chr12_000585.1,0
chr12_000592.1,0
chr12_000593.1,0.00840336134453781
chr12_000595.1,0
chr12_000598.1,0
chr12_000624.1,0
chr12_000634.1,0
chr12_000673.1,0
chr12_000688.1,0
chr12_000690.1,0
chr12_000696.1,0
chr12_000743.1,0.166666666666667
chr12_000744.1,0
chr12_000745.1,0
chr12_000760.1,0
chr12_000774.1,0
chr12_000813.1,0
chr12_000828.1,0
chr12_000832.1,0
chr12_000840.1,0
chr12_000860.1,0
chr12_000867.1,0
chr12_000880.1,0
chr12_000887.1,0
chr12_000892.1,0
chr12_000901.1,0
chr12_000914.1,0
chr12_000927.1,0
chr12_000983.1,0
chr12_001009.1,0
chr12_001017.1,0
chr12_001026.1,0.0285714285714286
chr12_001044.1,0
chr12_001052.1,0
chr12_001054.1,0
chr12_001060.1,0
chr12_001064.1,0
chr12_001081.1,0
chr12_001086.1,0
chr12_001102.1,0
chr12_001109.1,0
chr12_001121.1,0
chr12_001125.1,0
chr12_001126.1,0
chr12_001135.1,0
chr12_001143.1,0
chr12_001148.1,0.12
chr12_001154.1,0
chr12_001184.1,0
chr12_001191.1,0
chr12_001219.1,0
chr12_001221.1,0.0240963855421687
chr12_001247.1,0
chr12_001251.1,0
chr12_001252.1,0
chr12_001261.1,0
chr12_001265.1,0
chr12_001271.1,0
chr12_001285.1,0
chr12_001293.1,0
chr12_001324.1,0
chr12_001327.1,0.0151515151515152
chr12_001349.1,0
chr12_001358.1,0
chr12_001361.1,0
chr12_001382.1,0
chr12_001398.1,0
chr12_001402.1,0
chr12_001406.1,0
chr12_001408.1,0
chr12_001411.1,0
chr12_001433.1,0
chr12_001434.1,0
chr12_001435.1,0
chr12_001449.1,0
chr12_001451.1,0.0714285714285714
chr12_001477.1,0
chr12_001488.1,0
chr12_001496.1,0
chr12_001497.1,0.05
chr12_001500.1,0
chr12_001503.1,0
chr12_001509.1,0
chr12_001522.1,0
chr12_001531.1,0
chr12_001547.1,0
chr12_001556.1,0
chr12_001574.1,0
chr12_001575.1,0
chr12_001581.1,0
chr12_001587.1,0.127659574468085
chr12_001588.1,0
chr12_001596.1,0
chr12_001599.1,0.0263157894736842
chr12_001612.1,0
chr12_001614.1,0
chr12_001624.1,0
chr12_001625.1,0
chr12_001634.1,0
chr12_001639.1,0
chr12_001648.1,0
chr12_001650.1,0
chr12_001652.1,0
chr12_001653.1,0
chr12_001654.1,0
chr12_001666.1,0
chr12_001675.1,0
chr12_001695.1,0.0731707317073171
chr12_001700.1,0
chr12_001701.1,0
chr12_001702.1,0
chr12_001703.1,0
chr12_001704.1,0
chr12_001705.1,0
