Start,dS,Length
7290006,0.0221,26585
8192135,0.0171,38641
8231650,0.0086,8364
8240166,0.0179,9822
8254769,0.0602,10038
8283041,0.0205,89191
8672006,0.0117,11828
8892309,0,221713
9144577,0.0093,110766
9325550,0.0152,22080
9477180,0.0084,1140
9626057,0.009,19953
9650178,0,405
9899688,0.0049,25155
10083034,0.025,26134
10357038,0,40791
10432126,0.0071,85730
11496862,0.0094,20680
11525201,0.0131,191201
11725275,0.025,43538
11771871,0.0086,57477
11981243,0.0207,31177
12016228,0.0063,37468
12140648,0.0075,91812
12538908,0.0094,155435
12744873,0.0052,78012
12822929,0.0076,42983
12898837,0.0061,54449
12953660,0.0028,9197
13215718,0.0099,2680
13226325,0,3849
13246041,0.0142,154811
13531713,0.017,85562
13617566,0.0077,17941
14005550,0.0258,9024
14258615,0.0069,11502
14618399,0.0039,280520
14987619,0.015,229220
15522004,0.0087,49782
15553504,0.008,1287
15715957,0.0078,76763
15865496,0.0322,1602
15929156,0.0044,431834
16393625,0,19607
16755906,0,5430
16835904,0.0068,1404
17147193,0.0016,2613
17187344,0,126783
17355424,0.0046,100157
17583452,0,73799
17692999,0.0129,40727
17806431,0.0139,16645
18047632,0.0132,43141
18134164,0.0021,1920
18878190,0,597
18964328,0.0141,16695
19109952,0,40585
19203961,0.0122,459
19274182,0.0115,5745
19678467,0.0042,97595
19904214,0.0111,19361
19927624,0.0025,29410
20102406,0.0035,87830
20411669,0.0113,24259
20780554,0.0066,690
20816495,0.0037,34210
22991560,0.0029,83943
23424263,0.0029,106621
23735665,0,1626
24385892,0.0043,40383
24636478,0.0057,133988
24890474,0.0039,124721
25062991,0,144855
25264571,0.0071,61574
25479736,0,243334
25879823,0,52446
26112594,0.0019,40632
26931862,0.0054,34679
27032572,0.0081,126919
27236263,0.0076,406594
27778764,0.0041,86289
27963430,0.0179,20754
27993659,0.0027,99328
28208687,0,55409
28345090,0.0095,130416
28906293,0.0234,48048
29060901,0,59986
29376623,0.0097,38902
29490040,0.0139,40362
29531620,0.0057,31080
29731240,0.0254,34315
29839123,0.0066,87612
29926794,0.0067,43979
30365354,0.0098,102156
30636680,0.0084,35382
31130418,0.0122,11767
31164401,0,34727
32022520,0,30880
32098236,0.0081,29182
32312506,0.0044,2169
32546481,0.0132,33658
32590206,0.01,226200
32829268,0.0111,183364
33143169,0,7107
33202854,0.0111,54177
33277600,0,38925
33327867,0,33292
33409208,0,92717
33854840,0,4550
34218781,0.0048,20564
34624422,0.0039,1017
34692669,0,19541
34950767,0.0024,19409
35548610,0.0021,112457
35756934,0.014,100185
35857765,0,573
35882201,0.0472,630
35927585,0.0415,501
35961669,0.0252,936
36107923,0,23366
36673043,0.0087,19613
36706027,0.0104,29343
36784129,0,12755
36798630,0.0039,41369
36971279,0.0081,10496
37063127,0.0026,39894
37163956,0,59867
37297354,0.0069,68649
37498052,0,51885
37870238,0.0045,309025
38350839,0.0013,137679
38790762,0.0028,94765
38989111,0.0054,21642
39036371,0.01,24132
39097965,0,13359
39135621,0.0066,159365
39296785,0.0199,45015
39369170,0.0027,58209
39429221,0.0069,40001
39550196,0.0031,199743
39851183,0.0079,66650
39923409,0,42038
40432525,0.0067,23992
40463679,0.0073,25657
40540946,0,77226
40633228,0,28444
40869482,0.0192,32148
40902017,0.0074,26063
41024463,0,9813
41040928,0,14244
41060896,0.0094,106595
41260833,0.0026,377543
41650159,0,119744
41859090,0.0032,111678
42131917,0.0283,19554
42313803,0.0033,12959
42578178,0.0067,35023
42617085,0.006,21672
42676673,0.0124,33739
42723039,0.0124,36867
42826888,0.0085,70424
42960477,0.0077,15715
42994206,0,4920
43081292,0,70343
43217506,0.013,29183
43246742,0,7096
43269882,0.0234,40186
43416551,0.0017,66126
43671935,0.0126,52852
43730422,0.0134,28597
43783327,0,30976
43825249,0.0041,39911
44634970,0.0059,121778
44797643,0.0108,17073
44824689,0.0043,34245
44895678,0.0102,46041
44963904,0.0405,76694
45141897,0.0853,22582
45167559,0.0117,366
45167980,0.0074,567
45168699,0.0087,585
45429088,0.0152,58596
45522203,0.0059,44769
45675761,0.004,81399
46031897,0.0035,16228
46051163,0.0046,55867
46109862,0.0085,109155
46327541,0,35255
46449234,0,13350
46464360,0,25885
46522605,0,205273
46739953,0,79832
46871062,0.006,59899
46936900,0,39479
47597418,0.004,143075
48453643,0.0019,95680
48562783,0,14383
48768900,0.0068,23737
48796624,0.0016,73521
48901502,0.0043,40465
48945018,0.0044,43723
49214454,0.0112,40133
49299561,0,18893
49318482,0,4177
49327374,0.0049,891
49403395,0.0115,40109
