fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
chr10_002085.1	_chr10_002085.1_X	0		1095	_chr10_002085.1_Y	0		1095	1095	0.0039
chr1_002214.1	_chr1_002214.1_X	0		1818	_chr1_002214.1_Y	0		1818	1818	0.0123
chr1_002912.1	_chr1_002912.1_X	0		1191	_chr1_002912.1_Y	0		1191	1191	0.0091
chr1_004013.1	_chr1_004013.1_X	0		1818	_chr1_004013.1_Y	0		1818	1818	0.0022
chr1_004044.1	_chr1_004044.1_X	0		813	_chr1_004044.1_Y	0		813	813	0.0105
chr1_004375.1	_chr1_004375.1_X	0		2619	_chr1_004375.1_Y	0		2619	2619	0
chr11_000219.1	_chr11_000219.1_X	0		1320	_chr11_000219.1_Y	0		1320	1320	0.0372
chr11_002465.1	_chr11_002465.1_X	0		1527	_chr11_002465.1_Y	0		1527	1527	0.0070
chr11_002617.1	_chr11_002617.1_X	0		2067	_chr11_002617.1_Y	0		2067	2067	0.0289
chr11_003307.1	_chr11_003307.1_X	0		1434	_chr11_003307.1_Y	0		1434	1434	0
chr12_000004.1	_chr12_000004.1_X	0		2307	_chr12_000004.1_Y	0		2307	2307	0.0371
chr12_000005.1	_chr12_000005.1_X	0		588	_chr12_000005.1_Y	0		588	588	0.0516
chr12_000006.1	_chr12_000006.1_X	0		798	_chr12_000006.1_Y	0		798	798	0.0558
chr12_000008.1	_chr12_000008.1_X	0		996	_chr12_000008.1_Y	0		996	996	0.0110
chr12_000011.1	_chr12_000011.1_X	0		1266	_chr12_000011.1_Y	0		1266	1266	0.0763
chr12_000016.1	_chr12_000016.1_X	0		1146	_chr12_000016.1_Y	0		1146	1146	0
chr12_000017.1	_chr12_000017.1_X	0		1500	_chr12_000017.1_Y	0		1500	1500	0
chr12_000018.1	_chr12_000018.1_X	0		1035	_chr12_000018.1_Y	0		1035	1035	0.0422
chr12_000019.1	_chr12_000019.1_X	0		519	_chr12_000019.1_Y	0		519	519	0.0355
chr12_000022.1	_chr12_000022.1_X	0		1929	_chr12_000022.1_Y	0		1929	1929	0.0109
chr12_000025.1	_chr12_000025.1_X	0		1689	_chr12_000025.1_Y	0		1689	1689	0
chr12_000028.1	_chr12_000028.1_X	0		750	_chr12_000028.1_Y	0		750	750	0.0543
chr12_000029.1	_chr12_000029.1_X	0		990	_chr12_000029.1_Y	0		990	990	0
chr12_000033.1	_chr12_000033.1_X	0		1464	_chr12_000033.1_Y	0		1464	1464	0.0110
chr12_000034.1	_chr12_000034.1_X	0		1593	_chr12_000034.1_Y	0		1593	1593	0.0677
chr12_000039.1	_chr12_000039.1_X	0		1863	_chr12_000039.1_Y	0		1863	1863	0.0054
chr12_000055.1	_chr12_000055.1_X	0		867	_chr12_000055.1_Y	0		867	867	0
chr12_000056.1	_chr12_000056.1_X	0		2016	_chr12_000056.1_Y	0		2016	2016	0
chr12_000057.1	_chr12_000057.1_X	0		1038	_chr12_000057.1_Y	0		1038	1038	0.0067
chr12_000058.1	_chr12_000058.1_X	0		1035	_chr12_000058.1_Y	0		1035	1035	0
chr12_000065.1	_chr12_000065.1_X	0		132	_chr12_000065.1_Y	0		132	132	0
chr12_000069.1	_chr12_000069.1_X	0		1887	_chr12_000069.1_Y	0		1887	1887	0
chr12_000070.1	_chr12_000070.1_X	0		807	_chr12_000070.1_Y	0		807	807	0.0101
chr12_000072.1	_chr12_000072.1_X	0		1476	_chr12_000072.1_Y	0		1476	1476	0.0420
chr12_000078.1	_chr12_000078.1_X	0		1560	_chr12_000078.1_Y	0		1560	1560	0.0761
chr12_000084.1	_chr12_000084.1_X	0		1866	_chr12_000084.1_Y	0		1866	1866	0.0740
chr12_000085.1	_chr12_000085.1_X	0		1845	_chr12_000085.1_Y	0		1845	1845	0.0049
chr12_000093.1	_chr12_000093.1_X	0		585	_chr12_000093.1_Y	0		585	585	0.0494
chr12_000095.1	_chr12_000095.1_X	0		897	_chr12_000095.1_Y	0		897	897	0
chr12_000100.1	_chr12_000100.1_X	0		648	_chr12_000100.1_Y	0		648	648	0
chr12_000102.1	_chr12_000102.1_X	0		2730	_chr12_000102.1_Y	0		2730	2730	0
chr12_000105.1	_chr12_000105.1_X	0		2832	_chr12_000105.1_Y	0		2832	2832	0.0788
chr12_000106.1	_chr12_000106.1_X	0		4626	_chr12_000106.1_Y	0		4626	4626	0.0377
chr12_000107.1	_chr12_000107.1_X	0		2445	_chr12_000107.1_Y	0		2445	2445	0.0308
chr12_000109.1	_chr12_000109.1_X	0		1485	_chr12_000109.1_Y	0		1485	1485	0
chr12_000116.1	_chr12_000116.1_X	0		411	_chr12_000116.1_Y	0		411	411	0
chr12_000124.1	_chr12_000124.1_X	0		1719	_chr12_000124.1_Y	0		1719	1719	0
chr12_000125.1	_chr12_000125.1_X	0		5487	_chr12_000125.1_Y	0		5487	5487	0.0203
chr12_000128.1	_chr12_000128.1_X	0		525	_chr12_000128.1_Y	0		525	525	0.0744
chr12_000131.1	_chr12_000131.1_X	0		414	_chr12_000131.1_Y	0		414	414	0.0875
chr12_000135.1	_chr12_000135.1_X	0		1953	_chr12_000135.1_Y	0		1953	1953	0.0216
chr12_000136.1	_chr12_000136.1_X	0		1662	_chr12_000136.1_Y	0		1662	1662	0.0687
chr12_000137.1	_chr12_000137.1_X	0		801	_chr12_000137.1_Y	0		801	801	0
chr12_000143.1	_chr12_000143.1_X	0		1320	_chr12_000143.1_Y	0		1320	1320	0.0577
chr12_000145.1	_chr12_000145.1_X	0		1593	_chr12_000145.1_Y	0		1593	1593	0.0442
chr12_000146.1	_chr12_000146.1_X	0		1128	_chr12_000146.1_Y	0		1128	1128	0
chr12_000156.1	_chr12_000156.1_X	0		1017	_chr12_000156.1_Y	0		1017	1017	0.0134
chr12_000160.1	_chr12_000160.1_X	0		2601	_chr12_000160.1_Y	0		2601	2601	0.0373
chr12_000164.1	_chr12_000164.1_X	0		1575	_chr12_000164.1_Y	0		1575	1575	0
chr12_000165.1	_chr12_000165.1_X	0		1596	_chr12_000165.1_Y	0		1596	1596	0
chr12_000167.1	_chr12_000167.1_X	0		1578	_chr12_000167.1_Y	0		1578	1578	0.0535
chr12_000168.1	_chr12_000168.1_X	0		1233	_chr12_000168.1_Y	0		1233	1233	0.0826
chr12_000169.1	_chr12_000169.1_X	0		4134	_chr12_000169.1_Y	0		4134	4134	0.0013
chr12_000170.1	_chr12_000170.1_X	0		1584	_chr12_000170.1_Y	0		1584	1584	0
chr12_000171.1	_chr12_000171.1_X	0		480	_chr12_000171.1_Y	0		480	480	0.1233
chr12_000177.1	_chr12_000177.1_X	0		1833	_chr12_000177.1_Y	0		1833	1833	0.0820
chr12_000178.1	_chr12_000178.1_X	0		1335	_chr12_000178.1_Y	0		1335	1335	0
chr12_000179.1	_chr12_000179.1_X	0		1443	_chr12_000179.1_Y	0		1443	1443	0.0400
chr12_000181.1	_chr12_000181.1_X	0		1440	_chr12_000181.1_Y	0		1440	1440	0
chr12_000183.1	_chr12_000183.1_X	0		2097	_chr12_000183.1_Y	0		2097	2097	0
chr12_000186.1	_chr12_000186.1_X	0		1005	_chr12_000186.1_Y	0		1005	1005	0
chr12_000187.1	_chr12_000187.1_X	0		609	_chr12_000187.1_Y	0		609	609	0
chr12_000188.1	_chr12_000188.1_X	0		804	_chr12_000188.1_Y	0		804	804	0.0500
chr12_000190.1	_chr12_000190.1_X	0		729	_chr12_000190.1_Y	0		729	729	0
chr12_000191.1	_chr12_000191.1_X	0		597	_chr12_000191.1_Y	0		597	597	0.0370
chr12_000192.1	_chr12_000192.1_X	0		693	_chr12_000192.1_Y	0		693	693	0.0293
chr12_000194.1	_chr12_000194.1_X	0		909	_chr12_000194.1_Y	0		909	909	0
chr12_000199.1	_chr12_000199.1_X	0		1431	_chr12_000199.1_Y	0		1431	1431	0.0380
chr12_000200.1	_chr12_000200.1_X	0		3189	_chr12_000200.1_Y	0		3189	3189	0.0502
chr12_000205.1	_chr12_000205.1_X	0		1953	_chr12_000205.1_Y	0		1953	1953	0.0075
chr12_000206.1	_chr12_000206.1_X	0		930	_chr12_000206.1_Y	0		930	930	0.0379
chr12_000210.1	_chr12_000210.1_X	0		2097	_chr12_000210.1_Y	0		2097	2097	0.0145
chr12_000215.1	_chr12_000215.1_X	0		960	_chr12_000215.1_Y	0		960	960	0.0827
chr12_000216.1	_chr12_000216.1_X	0		444	_chr12_000216.1_Y	0		444	444	0.0644
chr12_000227.1	_chr12_000227.1_X	0		4320	_chr12_000227.1_Y	0		4320	4320	0
chr12_000228.1	_chr12_000228.1_X	0		891	_chr12_000228.1_Y	0		891	891	0.0383
chr12_000229.1	_chr12_000229.1_X	0		1539	_chr12_000229.1_Y	0		1539	1539	0.0065
chr12_000232.1	_chr12_000232.1_X	0		1557	_chr12_000232.1_Y	0		1557	1557	0
chr12_000236.1	_chr12_000236.1_X	0		2169	_chr12_000236.1_Y	0		2169	2169	0.0978
chr12_000239.1	_chr12_000239.1_X	0		4350	_chr12_000239.1_Y	0		4350	4350	0.0182
chr12_000240.1	_chr12_000240.1_X	0		1395	_chr12_000240.1_Y	0		1395	1395	0.0269
chr12_000244.1	_chr12_000244.1_X	0		678	_chr12_000244.1_Y	0		678	678	0.0060
chr12_000247.1	_chr12_000247.1_X	0		5133	_chr12_000247.1_Y	0		5133	5133	0.0204
chr12_000249.1	_chr12_000249.1_X	0		1725	_chr12_000249.1_Y	0		1725	1725	0.0046
chr12_000250.1	_chr12_000250.1_X	0		2667	_chr12_000250.1_Y	0		2667	2667	0.0081
chr12_000251.1	_chr12_000251.1_X	0		471	_chr12_000251.1_Y	0		471	471	0
chr12_000253.1	_chr12_000253.1_X	0		6321	_chr12_000253.1_Y	0		6321	6321	0.0151
chr12_000255.1	_chr12_000255.1_X	0		1236	_chr12_000255.1_Y	0		1236	1236	0.0138
