V1,V2
chr1_002214.1,0
chr1_004013.1,0.0520833333333333
chr1_004044.1,0
chr11_000139.1,0
chr11_002617.1,0.00952380952380952
chr11_003522.1,0.0606060606060606
chr12_000004.1,0.0576923076923077
chr12_000005.1,0.025
chr12_000011.1,0
chr12_000012.1,0
chr12_000018.1,0
chr12_000022.1,0
chr12_000024.1,0
chr12_000028.1,0.0588235294117647
chr12_000029.1,0
chr12_000037.1,0
chr12_000039.1,0.0224719101123595
chr12_000052.1,0.025974025974026
chr12_000055.1,0.0869565217391304
chr12_000058.1,0
chr12_000067.1,0.0540540540540541
chr12_000069.1,0.0113636363636364
chr12_000070.1,0.12
chr12_000071.1,0
chr12_000072.1,0.0344827586206897
chr12_000084.1,0
chr12_000085.1,0.043956043956044
chr12_000093.1,0
chr12_000095.1,0
chr12_000100.1,0
chr12_000102.1,0.0133333333333333
chr12_000103.1,0
chr12_000104.1,0
chr12_000105.1,0
chr12_000106.1,0
chr12_000107.1,0
chr12_000116.1,0
chr12_000117.1,0.03125
chr12_000124.1,0
chr12_000125.1,0.00546448087431694
chr12_000126.1,0.028169014084507
chr12_000128.1,0
chr12_000135.1,0
chr12_000141.1,0
chr12_000142.1,0
chr12_000143.1,0
chr12_000145.1,0
chr12_000156.1,0
chr12_000160.1,0.0327868852459016
chr12_000165.1,0
chr12_000167.1,0
chr12_000168.1,0.0344827586206897
chr12_000169.1,0
chr12_000171.1,0
chr12_000173.1,0.00793650793650794
chr12_000176.1,0
chr12_000177.1,0
chr12_000179.1,0
chr12_000192.1,0
chr12_000197.1,0
chr12_000199.1,0
chr12_000200.1,0
chr12_000205.1,0.0679611650485437
chr12_000206.1,0
chr12_000210.1,0
chr12_000215.1,0
chr12_000216.1,0
chr12_000229.1,0
chr12_000230.1,0
chr12_000231.1,0
chr12_000232.1,0
chr12_000236.1,0
chr12_000239.1,0
chr12_000240.1,0.0136986301369863
chr12_000241.1,0.0819672131147541
chr12_000244.1,0.0714285714285714
chr12_000247.1,0
chr12_000249.1,0.0185185185185185
chr12_000250.1,0.0786516853932584
chr12_000253.1,0
chr12_000255.1,0
chr12_000259.1,0.1
chr12_000269.1,0.0454545454545455
chr12_000271.1,0
chr12_000272.1,0
chr12_000275.1,0
