fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
chr1_000035.1	_chr1_000035.1_X	0		1158	_chr1_000035.1_Y	0		1158	1158	0
chr10_000990.1	_chr10_000990.1_X	0		1038	_chr10_000990.1_Y	0		1038	1038	0
chr10_002131.1	_chr10_002131.1_X	0		876	_chr10_002131.1_Y	1	,859	876	876	0.0055
chr10_002700.1	_chr10_002700.1_X	0		729	_chr10_002700.1_Y	0		729	729	0.0064
chr1_001358.1	_chr1_001358.1_X	0		249	_chr1_001358.1_Y	0		249	249	0
chr1_002101.1	_chr1_002101.1_X	0		402	_chr1_002101.1_Y	0		402	402	0.0791
chr1_002130.1	_chr1_002130.1_X	0		705	_chr1_002130.1_Y	0		705	705	0.0172
chr1_002890.1	_chr1_002890.1_X	0		1173	_chr1_002890.1_Y	0		1173	1173	0
chr1_003885.1	_chr1_003885.1_X	0		1212	_chr1_003885.1_Y	0		1212	1212	0.0427
chr1_004013.1	_chr1_004013.1_X	0		1818	_chr1_004013.1_Y	0		1818	1818	0.0184
chr1_004375.1	_chr1_004375.1_X	0		2619	_chr1_004375.1_Y	0		2619	2619	0
chr11_001838.1	_chr11_001838.1_X	0		1176	_chr11_001838.1_Y	0		1176	1176	0
chr11_002591.1	_chr11_002591.1_X	0		900	_chr11_002591.1_Y	0		900	900	0.0343
chr11_002617.1	_chr11_002617.1_X	0		2067	_chr11_002617.1_Y	0		2067	2067	0.0316
chr11_002816.1	_chr11_002816.1_X	0		537	_chr11_002816.1_Y	0		537	537	0
chr12_000004.1	_chr12_000004.1_X	0		2307	_chr12_000004.1_Y	0		2307	2307	0.0015
chr12_000005.1	_chr12_000005.1_X	0		588	_chr12_000005.1_Y	0		588	588	0.0453
chr12_000006.1	_chr12_000006.1_X	0		798	_chr12_000006.1_Y	0		798	798	0.0358
chr12_000011.1	_chr12_000011.1_X	0		1266	_chr12_000011.1_Y	0		1266	1266	0.0615
chr12_000016.1	_chr12_000016.1_X	0		1146	_chr12_000016.1_Y	0		1146	1146	0.0479
chr12_000018.1	_chr12_000018.1_X	0		1035	_chr12_000018.1_Y	0		1035	1035	0.0572
chr12_000019.1	_chr12_000019.1_X	0		519	_chr12_000019.1_Y	0		519	519	0
chr12_000021.1	_chr12_000021.1_X	0		1371	_chr12_000021.1_Y	0		1371	1371	0
chr12_000022.1	_chr12_000022.1_X	0		1929	_chr12_000022.1_Y	0		1929	1929	0.0021
chr12_000024.1	_chr12_000024.1_X	0		1764	_chr12_000024.1_Y	0		1764	1764	0
chr12_000028.1	_chr12_000028.1_X	0		750	_chr12_000028.1_Y	0		750	750	0.1064
chr12_000029.1	_chr12_000029.1_X	0		990	_chr12_000029.1_Y	0		990	990	0
chr12_000033.1	_chr12_000033.1_X	0		1464	_chr12_000033.1_Y	0		1464	1464	0.0730
chr12_000034.1	_chr12_000034.1_X	0		1593	_chr12_000034.1_Y	0		1593	1593	0.0237
chr12_000035.1	_chr12_000035.1_X	0		1410	_chr12_000035.1_Y	0		1410	1410	0
