fasta_file_Name	X_sequence_name	X_number_internal_stop_codons	X_positions_internal_stop_codons	X_initial_sequence_length	Y_sequence_name	Y_number_stop_codons	Y_positions_stop_codons	Y_initial_sequence_length	final_XY_sequence_length	dS
chr1_002214.1	_chr1_002214.1_X	0		1818	_chr1_002214.1_Y	0		1818	1818	0.0087
chr1_004013.1	_chr1_004013.1_X	0		1818	_chr1_004013.1_Y	0		1818	1818	0.0167
chr1_004044.1	_chr1_004044.1_X	0		813	_chr1_004044.1_Y	0		813	813	0
chr11_000139.1	_chr11_000139.1_X	0		1266	_chr11_000139.1_Y	0		1266	1266	0.0093
chr11_002617.1	_chr11_002617.1_X	0		2067	_chr11_002617.1_Y	0		2067	2067	0.0148
chr11_003522.1	_chr11_003522.1_X	0		1110	_chr11_003522.1_Y	0		1110	1110	0
chr12_000004.1	_chr12_000004.1_X	0		2307	_chr12_000004.1_Y	0		2307	2307	0.0015
chr12_000005.1	_chr12_000005.1_X	0		588	_chr12_000005.1_Y	0		588	588	0.0267
chr12_000011.1	_chr12_000011.1_X	0		1266	_chr12_000011.1_Y	0		1266	1266	0.0538
chr12_000012.1	_chr12_000012.1_X	0		1263	_chr12_000012.1_Y	0		1263	1263	0
chr12_000018.1	_chr12_000018.1_X	0		1035	_chr12_000018.1_Y	0		1035	1035	0.0523
chr12_000022.1	_chr12_000022.1_X	0		1929	_chr12_000022.1_Y	0		1929	1929	0.0123
chr12_000024.1	_chr12_000024.1_X	0		1764	_chr12_000024.1_Y	0		1764	1764	0
chr12_000028.1	_chr12_000028.1_X	0		750	_chr12_000028.1_Y	0		750	750	0.0617
chr12_000029.1	_chr12_000029.1_X	0		990	_chr12_000029.1_Y	0		990	990	0
chr12_000037.1	_chr12_000037.1_X	0		813	_chr12_000037.1_Y	0		813	813	0.0257
chr12_000039.1	_chr12_000039.1_X	0		1863	_chr12_000039.1_Y	0		1863	1863	0.0079
chr12_000052.1	_chr12_000052.1_X	0		1770	_chr12_000052.1_Y	0		1770	1770	0.0242
chr12_000055.1	_chr12_000055.1_X	0		867	_chr12_000055.1_Y	0		867	867	0
chr12_000058.1	_chr12_000058.1_X	0		1035	_chr12_000058.1_Y	0		1035	1035	0
chr12_000067.1	_chr12_000067.1_X	0		564	_chr12_000067.1_Y	0		564	564	0
chr12_000069.1	_chr12_000069.1_X	0		1887	_chr12_000069.1_Y	0		1887	1887	0
chr12_000070.1	_chr12_000070.1_X	0		807	_chr12_000070.1_Y	0		807	807	0.0086
chr12_000072.1	_chr12_000072.1_X	0		1476	_chr12_000072.1_Y	0		1476	1476	0.0370
chr12_000084.1	_chr12_000084.1_X	0		1866	_chr12_000084.1_Y	0		1866	1866	0.0850
chr12_000085.1	_chr12_000085.1_X	0		1845	_chr12_000085.1_Y	0		1845	1845	0.0048
chr12_000093.1	_chr12_000093.1_X	0		585	_chr12_000093.1_Y	0		585	585	0.0336
chr12_000095.1	_chr12_000095.1_X	0		897	_chr12_000095.1_Y	0		897	897	0
