Start,dS,Length
20367848,0.0069,43795
20780554,0.0125,690
20816495,0.0037,34210
22784385,0,63246
22991560,0.0027,83943
34950767,0.0049,19409
35548610,0.0025,112457
35882201,0.0064,630
35927585,0.01,501
35961669,0.0078,936
35979199,0.0016,58769
36078215,0,1065
36107923,0.0036,23366
36673043,0.0043,19613
36706027,0.0034,29343
36798630,0.0041,41369
36897918,0,54036
37063127,0.0025,39894
37163956,0.0044,59867
37297354,0.0024,68649
37498052,0.0091,51885
37620878,0.007,75943
37870238,0.0028,309025
38270432,0.0155,588
38350839,0.0013,137679
39036371,0.0026,24132
39135621,0,159365
39296785,0.0037,45015
39369170,0.0079,58209
39429221,0.0019,40001
39471190,0.0127,903
39550196,0.0084,199743
40362014,0,68090
40432525,0.0091,23992
40463679,0.0133,25657
40490068,0.0145,387
40540946,0.0097,77226
40620946,0.023,12245
40633228,0.0085,28444
40869482,0,32148
40902017,0,26063
40960150,0,33491
41022924,0.0045,819
41186728,0.0159,20051
41260833,0.0039,377543
41773007,0.0068,69208
41859090,0.0054,111678
42131917,0.0106,19554
42313065,0,660
42313803,0.0132,12959
42578178,0.0058,35023
42617085,0.014,21672
42723039,0.0028,36867
42826888,0.0029,70424
42960477,0.003,15715
43081292,0,70343
43217506,0.0082,29183
43416551,0.0033,66126
43671935,0.0024,52852
43730422,0.0019,28597
43783327,0,30976
44634970,0.0013,121778
44797643,0.0071,17073
44895678,0.0031,46041
44963904,0.0043,76694
45141897,0.0086,22582
45522203,0.0031,44769
45675761,0,81399
46031897,0,16228
46051163,0,55867
46109862,0.0399,109155
46327541,0.0078,35255
46464360,0,25885
46522605,0.0055,205273
46739953,0.0038,79832
46871062,0.006,59899
46936900,0.0158,39479
48198677,0.007,45453
48290459,0,9252
48453643,0.0076,95680
48656173,0.0046,16333
48796624,0.0067,73521
48901502,0.0044,40465
48945018,0.0043,43723
49214454,0.0021,40133
49299561,0.0064,18893
49505623,0.0058,233420
49744123,0.0146,152750
50013249,0.0077,8868
50041780,0.0034,33838
50157532,0.0054,39633
50294148,0.0014,178841
50506044,0.0019,86266
50592443,0,7485
50607430,0.0018,285950
50894391,0.006,35671
51090582,0.0063,150466
51255243,0.005,307737
51592369,0.0117,44972
51637483,0.0106,70791
51878602,0.0092,9176
51893198,0,2398
51895706,0.004,10622
52354116,0.0129,648
52354877,0,100776
52455706,0.0133,17338
52553278,0.0111,84450
52649577,0.0073,32332
52696269,0.0075,2575
52709441,0.0024,179561
52943385,0,564
53739637,0,188235
54097123,0,88956
54204280,0.0029,65816
54371023,0.006,21228
54716083,0,18365
54786751,0.0076,48683
55034363,0.0043,76043
55110417,0.0039,30082
55143876,0.0024,54348
55288533,0.0054,53114
55348343,0,18843
56388401,0.0017,243528
56987894,0.0031,95687
57110568,0.0041,237560
57507547,0.0026,41822
58023535,0,35365
58071544,0.0028,20943
58184797,0.005,26117
58216224,0.0077,249867
59087686,0.0123,17990
59131915,0,17013
59230980,0.0047,97893
59331451,0.0014,185746
60055606,0,156931
60299286,0.0034,40254
60399089,0.0073,90712
60554979,0.0284,23975
60850401,0.0104,70439
61020569,0,957
61025830,0.0033,50433
61147554,0.0033,23235
61275109,0.024,57758
61512387,0.0087,21702
62106583,0.0028,55266
62165307,0.0055,28866
62213070,0.0015,160737
62395406,0.0375,117418
62834195,0,154784
63285267,0.0013,75332
63421819,0.0048,67805
63752251,0.0055,47709
63895731,0,85845
64094261,0.0029,49464
64178932,0.0039,67070
64357155,0.0219,43736
64422007,0.1423,11432
64433781,0.0355,432
64434251,0.0105,22928
64510805,0.006,35032
64618721,0.0047,78925
64703566,0.0064,14760
65208984,0.0141,146255
65358926,0.0091,13197
65614377,0.013,260885
65913643,0.0013,71378
66073310,0.0108,38203
66220347,0.0062,29878
66280815,0,113967
66698958,0.0107,47614
66792152,0.0106,5633
66872523,0.0048,115285
67191025,0.0274,31401
67225482,0.0324,30793
67413771,0.0201,49778
68407675,0,58116
68490527,0.0361,50209
68550185,0.0126,43995
68661848,0.0223,27783
69424468,0.0258,54157
70242118,0.0117,86932
70346214,0.0061,75547
70504996,0.005,60997
70639184,0.0117,45968
70789536,0.0232,177152
71001011,0.0028,85097
71118226,0,34503
71188792,0.0142,26871
71216733,0.0207,50527
71289143,0.0058,27906
71345660,0.033,79795
71886725,0.0157,13891
71994464,0.0576,20692
72015637,0.0122,18285
72075615,0.0101,56766
72264271,0.0028,56721
72423437,0.0092,168257
72611958,0.005,113576
72729342,0.0045,241262
73049216,0.0035,120176
73190260,0.0089,164742
73465664,0.0128,27908
73493575,0.0078,525
73841136,0,187515
74028697,0.0067,19251
74166074,0.0046,166670
74509445,0.0343,71012
75380366,0.012,42714
75623982,0.0466,17217
76244443,0,134485
76419036,0,10921
76769148,0.0091,6025
77412960,0.007,147951
77567863,0.0082,163723
77824524,0,20013
77845290,0.0037,62755
77966441,0.0062,11263
78105865,0.0051,765
78116984,0.0034,133657
78293586,0.0277,10587
78415452,0.0055,51940
78743869,0.0407,16056
78788634,0.0054,46125
79007301,0,9686
79276509,0,52462
79514144,0.0226,30332
79620280,0.0103,55146
79675527,0.0084,152740
80003602,0,315
80017130,0.0191,25038
80110002,0.0094,29325
80147748,0.006,35189
80183005,0.0088,9453
80778821,0.0257,36315
80815264,0.0046,20755
80856907,0.0095,37871
81394241,0.0084,16098
82094377,0.0096,423
82297481,0.0144,26160
82324448,0.0133,121474
82446512,0,38537
82489245,0,25745
82648322,0.0108,23423
82692063,0,17535
82709806,0.0071,18276
82832481,0.013,20555
82935283,0.0032,33637
82980290,0.0249,10805
82994861,0.0234,40294
83065621,0,450
83066322,0,822
83266437,0.0103,113559
83384433,0,17013
83818470,0,31734
83934036,0.0202,159297
84265043,0.013,43744
84311647,0,492
84312415,0.0142,1347
84333616,0.0164,174105
84629985,0.0185,67239
84703999,0.0173,54536
84933224,0.016,10296
84983672,0.0255,43696
85840034,0.0261,50757
85919149,0.0094,27086
85996677,0.0113,19284
86462639,0.0355,85522
86653524,0.0172,51293
86688318,0.017,35169
86723937,0.0261,11351
86762577,0.0202,59188
87122460,0.0162,51702
87176863,0.015,141178
87340668,0.019,33324
87599479,0.0115,79885
87758212,0,31593
87837630,0.0396,19047
88036816,0.0086,36830
88078353,0.0343,10014
88901865,0.0671,15286
88970358,0.038,52844
